,KOI,KIC,Teff,ETeff,eTeff,Fe/H,e_Fe/H,M/H,e_M/H,SpType,Mstar,e_Mstar,Rstar,e_Rstar,Dis,Fe/H-T,e_Fe/H-T,Fe/H-M,e_Fe/H-M,M/H-M,e_M/H-M,solution_id,designation,m_source_id,random_index,gaia_ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,kepid,ra_kic,dec_kic,r_est,r_lo,r_hi,r_length_prior,r_result_flag,r_modality_flag,tm_designation,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,planet?,kepler_gaia_ang_dist
0,4290,5868793,3187,62,88,0.1,0.16,0.07,0.13,M4V,0.18,0.04,0.2,0.03,77,-0.08,0.14,0.12,0.2,-0.02,0.21,1.64E+18,b'Gaia DR2 2101449265111030912',2.10E+18,455133635,2015.5,289.3765441,0.056635159,41.1580845,0.065768303,12.64751982,0.070111101,180.39255,-20.80378439,0.122793902,-119.9161803,0.124557115,-0.051734626,0.07081492,-0.20546763,-0.08091419,0.13442378,-0.10689779,-0.16958031,-0.23539774,-0.27798524,-0.001239837,193,0,192,1,6.4533677,340.62967,0.404317613,7.778709553,31,FALSE,2.9156835,1.223012392,0.018281249,0.044331245,22,16,0.11832236,0,25,FALSE,214,5124.805614,4.910750223,1043.5891,16.414173,18,722.7713112,13.87089937,52.107025,18.203886,22,7133.05163,22.38067694,318.71475,15.128732,1.5329016,1,3.0751543,1.7897129,1.2854414,,,0,,,,b'NOT_AVAILABLE',72.79807538,12.94692671,302.6492752,62.41839584,100002,3654.97,3300.5,4407.7876,0.271,0.0354,0.471,0.1713,0.0209,0.297,-9.22E+18,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2101449265111030912',b' ',5868793,289.37668,41.158672,78.8906351,78.45338986,79.33269374,970.5348089,1,1,b'2MASS J19173039+4109311',17.058,3187,62,-88,b'SPE70',5.091,0.01,-0.01,b'SPE70',0.1,0.16,-0.16,b'SPE70',0.2,0.03,-0.03,0.18,0.04,-0.04,b'MULT70',1,1,1,13.285,12.694,12.435,b'conf',0.260350743
1,2842,8733898,3204,40,67,-0.3,0.12,-0.21,0.12,M4V,0.16,0.02,0.18,0.02,34,-0.53,0.29,-0.3,0.11,-0.24,0.11,1.64E+18,b'Gaia DR2 2106929849536047744',2.11E+18,1083048335,2015.5,282.2501047,0.050363154,44.92100198,0.055330057,10.35155316,0.054689339,189.27917,-12.46588919,0.10366217,-24.01075795,0.10358511,-0.21828577,-0.16101745,-0.34487426,0.09651125,0.3586645,0.05357446,-0.37995058,-0.05315734,-0.11975252,-0.08919701,186,0,185,1,2.4870558,230.64493,0.207630789,2.182075401,31,FALSE,4.7600417,1.306941425,0.015169134,-0.031656794,21,15,0.106875196,0,23,FALSE,195,5640.306598,4.050395774,1392.5322,16.310108,18,1122.288964,12.37541462,90.68698,17.726126,18,7061.453183,14.3727934,491.30695,15.139685,1.4509392,0,2.586441,1.4160175,1.1704235,,,0,,,,b'NOT_AVAILABLE',74.36797602,19.18907774,292.9981052,67.38475097,100001,3483.7576,3315.75,3820.85,0.16,0.0032,0.3581,0.098,0.0044,0.204,-9.22E+18,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2106929849536047744',b' ',8733898,282.25021,44.921108,96.33902405,95.83027302,96.85310855,846.7982229,1,1,b'2MASS J18490005+4455160',16.257,3464,69,-55,b'SPE86',4.923,0.044,-0.044,b'PHO2',-0.14,0.15,-0.15,b'SPE86',0.328,0.04,-0.036,0.328,0.053,-0.043,b'DSEP',3,3,3,13.591,13.075,12.827,b'conf',0.075727902
2,961,8561063,3204,59,46,-0.48,0.12,-0.33,0.12,M4V,0.13,0.05,0.17,0.04,38,-0.53,0.13,-0.64,0.14,-0.56,0.14,1.64E+18,b'Gaia DR2 2126556132093765888',2.13E+18,129057540,2015.5,292.2196,0.031772852,44.61736674,0.037727353,24.93396689,0.040087384,621.99036,93.12582003,0.073031982,-417.4202696,0.067136405,-0.0929253,-0.07752351,-0.1675355,-0.010021147,0.40816596,-0.11069587,-0.18468519,-0.2298627,-0.06905208,0.006779161,226,0,226,0,10.911973,537.7407,0.285570998,12.58099919,31,FALSE,8.0267725,1.300216141,0.009141368,0.04642375,26,16,0.07404909,0,28,FALSE,238,18971.95805,8.836079961,2147.1013,14.993085,26,3623.829165,19.25054988,188.24548,16.453468,26,24005.13705,33.01231217,727.1571,13.811159,1.4563055,1,2.6423092,1.4603834,1.1819258,,,0,,,,b'NOT_AVAILABLE',76.91717355,12.54674098,309.6161638,65.02985956,100002,4021.22,3797.0125,4106.223,0.301,0.0579,0.6104,0.1678,0.0259,0.3121,-9.22E+18,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2126556132093765888',b' ',8561063,292.21906,44.61916,40.05954359,39.99483264,40.12446056,1059.55075,1,1,b'2MASS J19285255+4437096',15.92,3292,44,-24,b'SPE70',5.215,0.053,-0.098,b'PHO41',-0.42,0.15,-0.15,b'SPE70',0.148,0.039,-0.017,0.132,0.039,-0.013,b'DSEP',3,3,4,12.177,11.685,11.465,b'conf',0.061480395
3,2704,9730163,3267,69,51,0.27,0.13,0.19,0.12,M4V,0.24,0.05,0.26,0.04,118,0.22,0.14,0.38,0.15,0.14,0.17,1.64E+18,b'Gaia DR2 2085482775729637376',2.09E+18,401164002,2015.5,298.7363395,0.047556525,46.49912361,0.062607622,7.833467766,0.061054649,128.30257,41.51647434,0.102046346,132.1732989,0.110893252,0.009699207,-0.07528309,-0.055218734,-0.06947866,0.30363253,-0.145237,-0.31147918,-0.23198055,0.07740349,0.05021297,214,0,213,1,2.3392062,258.67978,0.176355696,1.120398994,31,FALSE,3.5005295,1.245884528,0.014662266,0.00723973,24,15,0.1083268,0,25,FALSE,215,3882.167811,3.87300089,1002.3669,16.71568,22,541.8575908,10.5338808,51.439503,18.516676,23,5391.161483,17.79551109,302.95065,15.432714,1.5282748,0,3.0839615,1.8009968,1.2829647,,,0,,,,b'NOT_AVAILABLE',80.78004112,9.39004239,321.2889558,64.90442524,100001,3482.1099,3278,4065,0.69,0.4749,1.071,0.4288,0.3743,0.6371,-9.22E+18,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2085482775729637376',b' ',9730163,298.73611,46.498634,127.2012588,126.2135119,128.204308,1587.987022,1,1,b'2MASS J19545665+4629548',17.475,3157,75,-37,b'SPE86',5.112,0.076,-0.123,b'PHO54',0.26,0.15,-0.1,b'SPE86',0.18,0.081,-0.027,0.153,0.092,-0.023,b'DSEP',3,3,2,13.542,12.929,12.61,b'conf',0.295715097
4,3749,11547869,3337,121,59,0.1,0.18,0.07,0.15,M3V,0.28,0.07,0.29,0.06,74,0.08,0.14,0.16,0.22,0.14,0.27,1.64E+18,b'Gaia DR2 2132029054298084096',2.13E+18,1212582142,2015.5,285.0076175,0.064786018,49.50396343,0.072784118,3.248539507,0.076897993,42.24479,-10.88951856,0.138572316,-4.903707091,0.128688129,0.014207832,-0.020480515,-0.20237377,-0.07382244,0.4777639,-0.1709356,-0.18337716,-0.20228374,-0.14662248,0.005048538,191,0,191,0,10.105688,455.70932,0.458925064,10.89262881,31,FALSE,2.5645442,1.32149923,0.018244137,-0.002456001,22,16,0.13034326,0,23,FALSE,200,5135.251708,4.908356873,1046.2262,16.41196,22,1107.525218,8.819376471,125.57863,17.740503,22,6245.323801,9.452458675,660.7089,15.273032,1.431838,0,2.4674711,1.3285427,1.1389284,,,0,,,,b'NOT_AVAILABLE',79.60092764,18.97100611,301.632089,71.29886148,100001,3473,3330,3940.14,,,,,,,200111,0.59569705,0.46281958,0.64795756,0.04651197,0.044205822,0.04881812,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2132029054298084096',b' ',11547869,285.00772,49.503979,305.3798772,298.3166894,312.7793415,808.4669751,1,1,b'2MASS J19000185+4930143',16.415,3324,66,-73,b'SPE70',5.006,0.075,-0.083,b'PHO2',0.08,0.15,-0.15,b'SPE70',0.268,0.063,-0.056,0.267,0.072,-0.064,b'DSEP',0,1,1,13.726,13.068,12.972,b'cand',0.073686504
5,249B,9390653,3349,194,47,-0.11,0.27,-0.08,0.2,M3V,0.24,0.09,0.25,0.07,39,-0.23,0.27,-0.14,0.25,-0.11,0.23,1.64E+18,b'Gaia DR2 2107186134525176960',2.11E+18,1568581972,2015.5,284.9219608,0.024421938,45.97232652,0.027872514,10.06516823,0.030633465,328.56772,19.18344561,0.048806061,-11.70440347,0.046337539,-0.12687482,-0.24899468,0.027706346,-0.03384773,0.4533218,-0.22660422,-0.28480783,-0.34122127,-0.1471512,0.0765514,221,0,220,1,6.9065175,391.37546,0.192383231,7.333742538,31,FALSE,15.759909,1.370011738,0.007365826,0.029479338,25,15,0.055651728,0,29,FALSE,238,31050.38635,11.13492415,2788.5583,14.458199,26,7840.487802,20.67673236,379.19376,15.61553,25,35282.15124,78.36434954,450.23218,13.393032,1.3887956,1,2.222498,1.1573315,1.0651665,,,0,,,,b'NOT_AVAILABLE',76.09154555,17.79385456,298.461156,67.94257413,100002,3812.825,3514,4150.65,0.2607,0.0909,0.4243,0.1363,0.05,0.2443,-9.22E+18,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2107186134525176960',b' ',9390653,284.92184,45.972401,99.06881957,98.76681207,99.37264667,837.4307514,1,1,b'2MASS J18594123+4558206',14.486,3547,71,-80,b'SPE70',4.899,0.06,-0.06,b'SPE60',-0.14,0.15,-0.15,b'SPE70',0.369,0.05,-0.056,0.396,0.048,-0.072,b'DSEP',1,1,1,12,11.374,11.155,b'conf',0.08685503
6,249A,9390653,3562,55,67,-0.13,0.14,-0.1,0.13,M2V,0.4,0.05,0.39,0.04,46,-0.24,0.13,-0.2,0.13,-0.2,0.14,1.64E+18,b'Gaia DR2 2107186134525176960',2.11E+18,1568581972,2015.5,284.9219608,0.024421938,45.97232652,0.027872514,10.06516823,0.030633465,328.56772,19.18344561,0.048806061,-11.70440347,0.046337539,-0.12687482,-0.24899468,0.027706346,-0.03384773,0.4533218,-0.22660422,-0.28480783,-0.34122127,-0.1471512,0.0765514,221,0,220,1,6.9065175,391.37546,0.192383231,7.333742538,31,FALSE,15.759909,1.370011738,0.007365826,0.029479338,25,15,0.055651728,0,29,FALSE,238,31050.38635,11.13492415,2788.5583,14.458199,26,7840.487802,20.67673236,379.19376,15.61553,25,35282.15124,78.36434954,450.23218,13.393032,1.3887956,1,2.222498,1.1573315,1.0651665,,,0,,,,b'NOT_AVAILABLE',76.09154555,17.79385456,298.461156,67.94257413,100002,3812.825,3514,4150.65,0.2607,0.0909,0.4243,0.1363,0.05,0.2443,-9.22E+18,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2107186134525176960',b' ',9390653,284.92184,45.972401,99.06881957,98.76681207,99.37264667,837.4307514,1,1,b'2MASS J18594123+4558206',14.486,3547,71,-80,b'SPE70',4.899,0.06,-0.06,b'SPE60',-0.14,0.15,-0.15,b'SPE70',0.369,0.05,-0.056,0.396,0.048,-0.072,b'DSEP',1,1,1,12,11.374,11.155,b'conf',0.08685503
7,1702,7304449,3356,59,55,-0.06,0.13,-0.05,0.12,M3V,0.26,0.05,0.27,0.04,60,-0.02,0.12,-0.12,0.14,-0.12,0.12,1.64E+18,b'Gaia DR2 2078524482038704000',2.08E+18,12706753,2015.5,297.7292296,0.032165303,42.86669192,0.042456048,7.412029694,0.039636102,187.00198,-1.682625938,0.070934746,-51.26176443,0.088545116,0.097217724,0.108132094,-0.107852206,-0.16350819,0.016746867,-0.16004747,-0.243311,-0.05653696,-0.025385972,0.019959245,218,0,216,2,4.8167486,325.33148,0.235599587,4.808567577,31,FALSE,7.027284,1.321235369,0.010047639,0.03815119,25,16,0.09001288,0,28,FALSE,241,9541.832049,5.987553042,1593.6113,15.739286,25,1987.339126,14.73756654,134.84853,17.10571,26,11806.24528,15.749165,749.64264,14.58164,1.4455907,0,2.5240688,1.3664227,1.1576462,,,0,,,,b'NOT_AVAILABLE',77.22890724,8.210300878,316.4119401,61.9116043,100001,3310.25,3289.75,3591.423,0.0615,0.014,0.3658,0.029,0.0079,0.2067,-9.22E+18,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2078524482038704000',b' ',7304449,297.72925,42.86692,134.3973579,133.6798175,135.1225042,1885.409555,1,1,b'2MASS J19505502+4252009',15.722,3364,74,-67,b'SPE70',4.978,0.07,-0.07,b'SPE60',-0.06,0.15,-0.1,b'SPE70',0.274,0.062,-0.05,0.26,0.072,-0.059,b'DSEP',1,1,1,12.99,12.438,12.199,b'conf',0.038459239
8,3119,5551672,3371,64,142,-0.4,0.19,-0.29,0.16,M3V,0.22,0.06,0.23,0.05,51,-0.46,0.13,-0.32,0.23,-0.24,0.26,1.64E+18,b'Gaia DR2 2076747533796560256',2.08E+18,1598177455,2015.5,296.5867418,0.06809368,40.72232877,0.079960034,6.010104,0.08234136,72.9901,-88.30086545,0.151666606,-161.776302,0.163688813,0.056420628,-0.02930926,-0.20442057,-0.09148589,0.22601718,-0.09639504,-0.20305808,-0.000331979,-0.04985695,0.001281867,210,0,209,1,5.7767005,343.4001,0.472957287,6.761976621,31,FALSE,1.8705792,1.299322675,0.018580598,0.011042455,24,16,0.15099224,0,26,FALSE,223,3147.041499,3.372567757,933.1292,16.94361,26,792.1279665,10.24209576,77.340416,18.1044,25,3863.526479,10.2778019,375.9098,15.79446,1.479375,0,2.3099403,1.1607914,1.149149,,,0,,,,b'NOT_AVAILABLE',74.91999939,7.898629718,313.1126411,60.24426073,100001,3539,3435.6667,3928.28,0.061,0.007,0.219,0.0243,0.0029,0.1181,-9.22E+18,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2076747533796560256',b' ',5551672,296.58719,40.722988,165.6466459,163.4003033,167.9544794,2088.670028,1,1,b'2MASS J19462092+4043227',16.946,3421,67,-51,b'SPE70',5.014,0.045,-0.045,b'PHO2',-0.34,0.15,-0.1,b'SPE70',0.25,0.04,-0.03,0.236,0.052,-0.032,b'DSEP',0,1,1,14.377,13.838,13.539,b'cand',0.198267462
9,463,8845205,3389,60,49,-0.12,0.13,-0.09,0.12,M3V,0.26,0.05,0.26,0.04,47,-0.11,0.12,-0.29,0.13,-0.28,0.13,1.64E+18,b'Gaia DR2 2082162147537254400',2.08E+18,350807941,2015.5,300.2066441,0.028990479,45.01824025,0.029440946,9.119687987,0.034167283,266.91287,84.78516453,0.063608639,18.96368191,0.055304871,0.11124461,0.28458142,-0.000442256,-0.15263997,0.34442052,-0.081634276,-0.28903246,-0.058899935,-0.25846717,-0.11094237,212,0,205,7,5.151884,320.83075,0.193124101,5.387942506,31,FALSE,13.481033,1.342643928,0.008945555,0.062917896,25,16,0.06669092,0,28,FALSE,230,23709.46897,10.8610514,2182.981,14.751061,28,5808.665048,26.47558692,219.39703,15.941197,28,27253.21536,50.10753691,543.89453,13.673376,1.3944589,0,2.2678213,1.190136,1.0776854,,,0,,,,b'NOT_AVAILABLE',80.01328186,7.755966397,321.8734987,63.12131324,100001,3910.8848,3600.25,4160.718,0.252,0.1185,0.4653,0.131,0.078,0.2106,-9.22E+18,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2082162147537254400',b' ',8845205,300.20609,45.018139,109.3082458,108.8984513,109.7210809,1769.07812,1,1,b'2MASS J20004946+4501053',14.708,3395,74,-67,b'SPE70',4.97,0.072,-0.065,b'SPE60',-0.12,0.15,-0.15,b'SPE70',0.283,0.059,-0.053,0.271,0.072,-0.059,b'DSEP',1,1,1,12.276,11.671,11.455,b'conf',0.118969629
