,KOI,KIC,Teff,ETeff,eTeff,Fe/H,e_Fe/H,M/H,e_M/H,SpType,Mstar,e_Mstar,Rstar,e_Rstar,Dis,Fe/H-T,e_Fe/H-T,Fe/H-M,e_Fe/H-M,M/H-M,e_M/H-M,solution_id,designation,m_source_id,random_index,gaia_ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,kepid,ra_kic,dec_kic,r_est,r_lo,r_hi,r_length_prior,r_result_flag,r_modality_flag,tm_designation,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,planet?,kepler_gaia_ang_dist
4,3749,11547869,3337,121,59,+0.10,0.18,+0.07,0.15,M3V,0.28,0.07,0.29,0.06,74,+0.08,0.14,+0.16,0.22,+0.14,0.27,1635721458409799680,b'Gaia DR2 2132029054298084096',2132029054298084096,1212582142,2015.5,285.0076174593128,0.06478601780260808,49.5039634285697,0.07278411811173455,3.248539506675241,0.0768979933998059,42.24479,-10.889518555486339,0.13857231581758375,-4.903707091192837,0.12868812924229103,0.014207832,-0.020480515,-0.20237377,-0.07382244,0.4777639,-0.1709356,-0.18337716,-0.20228374,-0.14662248,0.005048538,191,0,191,0,10.105688,455.70932,0.458925064430869,10.892628813888173,31,False,2.5645442,1.3214992296076842,0.018244137138690338,-0.0024560005,22,16,0.13034326,0,23,False,200,5135.251707548685,4.908356872877212,1046.2262,16.41196,22,1107.5252180572445,8.819376471448798,125.57863,17.740503,22,6245.323801217071,9.452458675449597,660.7089,15.273032,1.431838,0,2.4674711,1.3285427,1.1389284,,,0,,,,b'NOT_AVAILABLE',79.6009276426901,18.971006106948895,301.63208902204696,71.29886148239862,100001,3473.0,3330.0,3940.14,,,,,,,200111,0.59569705,0.46281958,0.64795756,0.04651197,0.044205822,0.04881812,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2132029054298084096',b' ',11547869,285.00772,49.503979,305.379877207233,298.316689372161,312.779341470527,808.466975078331,1.0,1.0,b'2MASS J19000185+4930143',16.415,3324,66.0,-73.0,b'SPE70',5.006,0.075,-0.083,b'PHO2',0.08,0.15,-0.15,b'SPE70',0.268,0.063,-0.056,0.267,0.072,-0.064,b'DSEP',0,1,1,13.726,13.068,12.972,b'cand',0.07368650435247952
10,3497,8424002,3412,61,91,+0.02,0.16,+0.01,0.14,M3V,0.32,0.06,0.32,0.05,43,+0.09,0.18,+0.37,0.18,+0.10,0.18,1635721458409799680,b'Gaia DR2 2127115783511206016',2127115783511206016,971559065,2015.5,289.27449763879554,0.23184826767840522,44.470405557101074,0.22320455443348075,3.171827652831739,0.24047256621388657,13.189977,2.9905738873031416,0.5118933036936516,20.29623751309827,0.410102400290731,-0.16976026,0.11880527,-0.2782746,0.023354013,0.22361813,-0.026748262,-0.283026,-0.20499615,-0.0554464,-0.071970314,239,9,234,5,180.9589,66923.8,2.133466716580178,1510.9299405529725,31,False,0.20266247,1.4463543088566564,0.06382955799560107,-0.07629311,27,15,0.4467976,0,29,False,257,93320.96449444829,405.361088572823,230.21687,13.263417,29,41741.5598828875,127.62325314457108,327.0686,13.799967,29,91466.23565162341,406.1715335086811,225.19115,12.3587675,1.4274155,0,1.4411993,0.53654957,0.90464973,-19.67069151423891,3.23057912420845,6,4000.0,3.0,0.0,b'NOT_AVAILABLE',75.8688254235699,14.387297747572987,304.7649314691426,65.59967903247882,102001,4480.6665,4342.0,4984.0,,,,,,,200111,1.1424528,0.92335236,1.216589,0.4739601,0.40377045,0.54414976,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2127115783511206016',b' ',8424002,289.27451,44.470322,315.375103196574,292.548301040068,341.995296988704,888.393651278053,1.0,1.0,b'2MASS J19170588+4428129',13.393,3419,67.0,-76.0,b'SPE70',4.904,0.084,-0.052,b'PHO54',0.04,0.15,-0.15,b'SPE70',0.344,0.051,-0.07,0.346,0.066,-0.081,b'DSEP',1,1,1,11.315,10.75,10.623,b'conf',0.07931710379245877
13,2542,6183511,3466,58,85,+0.10,0.15,+0.07,0.14,M2V,0.37,0.06,0.36,0.05,62,-0.03,0.15,+0.29,0.15,+0.20,0.17,1635721458409799680,b'Gaia DR2 2104475013729123072',2104475013729123072,1456010443,2015.5,283.40186279742784,0.21064096030518756,41.51615539710847,0.23165902182478923,3.839192173467061,0.24345409406254673,15.769676,-14.65766614549463,0.4435752298718965,-30.008866901939825,0.3946115819550387,-0.20176132,-0.28450105,-0.3331624,0.0843596,0.39205718,-0.014157919,-0.3785219,-0.06327317,-0.22373621,-0.07812327,211,0,210,1,71.20516,7660.8843,1.9447412896076255,333.5420991864971,31,False,0.2545059,1.2363070463135322,0.05530792473571125,-0.010535337,24,15,0.40441313,0,26,False,219,9435.953887497699,45.54380879716051,207.18411,15.751401,24,2609.441518338281,29.44225851377538,88.62912,16.810019,25,14033.741085620219,60.56761883142229,231.70369,14.393987,1.763805,0,2.4160318,1.0586176,1.3574142,,,0,,,,b'NOT_AVAILABLE',71.31798692257296,17.21343414607478,293.2156853740134,63.87922906246214,102001,3794.6633,3431.0,4157.3047,,,,,,,200111,0.50901425,0.4240848,0.6226371,0.048400246,0.042225484,0.054575007,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2104475013729123072',b' ',6183511,283.40195,41.516331,260.286296443021,244.370513228731,278.379553808152,875.697008221437,1.0,1.0,b'2MASS J18533646+4130588',15.527,3460,69.0,-83.0,b'SPE70',4.92,0.058,-0.071,b'SPE60',0.07,0.15,-0.15,b'SPE70',0.356,0.057,-0.057,0.385,0.055,-0.076,b'DSEP',0,1,1,12.858,12.266,12.032,b'cand',0.16721819880752348
17,1146,8351704,3560,87,47,-0.18,0.14,-0.13,0.13,M2V,0.39,0.05,0.37,0.05,93,-0.24,0.14,-0.18,0.15,-0.29,0.13,1635721458409799680,b'Gaia DR2 2105915343901864832',2105915343901864832,721696743,2015.5,285.6285207848421,0.02837272534067327,44.31078546550701,0.03240878413021996,3.503127501501186,0.0323484538803627,108.2935,-4.541977438755967,0.06621093622531116,-24.477998682642827,0.07043634612179206,-0.12116408,-0.1474022,0.06870586,0.055023074,0.09921425,0.03799103,-0.30953544,-0.07580465,-0.0074108285,-0.07845855,219,0,217,2,2.702151,271.86273,0.13728000966179607,1.762591236247283,31,False,9.93446,1.3856101508796952,0.00806742691554132,0.08481141,25,17,0.07592064,0,27,False,233,10518.165946901709,4.811698398589679,2185.957,15.633515,24,3177.8357029984563,13.411278535139832,236.95248,16.59606,22,10996.8345827492,18.355511308688087,599.1026,14.658751,1.347637,0,1.9373093,0.96254444,0.9747648,,,0,,,,b'NOT_AVAILABLE',74.66169506655748,16.723995672637496,298.5451571285807,66.20822758995206,100001,3770.6667,3555.0,5035.75,0.4118,0.2277,0.7525,0.1902,0.119,0.346,200111,0.6014035,0.3371894,0.67658603,0.06587175,0.06442152,0.067321986,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2105915343901864832',b' ',8351704,285.62854,44.31089,283.155028895712,280.565312102277,285.792129723144,844.436467637239,1.0,1.0,b'2MASS J19023084+4418392',15.649,3569,71.0,-78.0,b'SPE70',4.861,0.066,-0.044,b'SPE60',-0.16,0.15,-0.15,b'SPE70',0.389,0.047,-0.057,0.4,0.048,-0.066,b'DSEP',1,1,1,13.441,12.872,12.608,b'conf',0.02112850425507226
18,1686,6149553,3561,49,97,-0.20,0.15,-0.14,0.13,M2V,0.39,0.06,0.37,0.05,84,-0.31,0.15,-0.10,0.17,+0.01,0.16,1635721458409799680,b'Gaia DR2 2075385994820474752',2075385994820474752,471297408,2015.5,298.5072796892991,0.038826044995691145,41.479232262198174,0.04386181478813897,4.357075653584051,0.046806043094882836,93.08789,8.247159959329737,0.0807907155811719,33.64103862512686,0.08951557089165275,-0.019562943,0.07650213,-0.028067127,-0.14288883,0.13293271,-0.14325199,-0.2635717,-0.21934439,-0.07438041,-0.08826753,239,0,238,1,6.009593,387.35925,0.2993102384492809,6.813870509220326,31,False,5.005487,1.3271117426533479,0.01191591916266184,0.025702562,27,16,0.089277595,0,30,False,259,8350.89868273105,4.420490604117517,1889.1339,15.884032,28,1968.26721127916,10.214347014303609,192.69633,17.116179,28,9839.553866107368,22.565916066097603,436.0361,14.779482,1.4139581,1,2.3366966,1.2321463,1.1045504,,,0,,,,b'NOT_AVAILABLE',76.30691822131551,7.017665386547771,316.39508005791134,60.40913252802187,100002,3449.5,3408.75,3786.145,0.5543,0.3606,0.76,0.2945,0.1986,0.3766,200111,0.5795992,0.48111132,0.59353966,0.04285237,0.04183035,0.043874387,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2075385994820474752',b' ',6149553,298.50726,41.47905,228.043355973843,225.616404867081,230.522136308655,2087.04322448855,1.0,1.0,b'2MASS J19540173+4128445',15.886,3554,64.0,-78.0,b'SPE70',4.91,0.06,-0.06,b'SPE60',-0.2,0.15,-0.15,b'SPE70',0.359,0.047,-0.057,0.384,0.051,-0.07,b'DSEP',0,1,0,13.33,12.715,12.489,b'cand',0.1540463426998891
19,899,7907423,3565,68,39,+0.01,0.13,+0.00,0.13,M2V,0.43,0.05,0.41,0.04,117,+0.25,0.12,+0.28,0.13,+0.22,0.12,1635721458409799680,b'Gaia DR2 2078807228323035008',2078807228323035008,616257329,2015.5,296.98530016335167,0.024887263962751413,43.6586042687416,0.0314729090339579,5.223482737686064,0.033394377200020114,156.41803,33.524479483185154,0.05329358050478494,17.517803058947255,0.05218056796041763,-0.082984336,-0.0686255,-0.1307138,-0.006809742,0.4757236,-0.09480934,-0.10843893,-0.18005937,-0.033215806,-0.026232533,211,0,211,0,4.2931294,305.13873,0.12024090369729241,1.8430200659409934,31,False,14.49722,1.3759566555806928,0.00691307350263584,0.020251986,24,15,0.056069866,0,28,False,246,15245.807772892793,7.495864600240448,2033.8959,15.23049,26,3978.7161786768015,15.083037403054854,263.78748,16.352032,26,17078.71849523669,20.492766783636252,833.4023,14.180781,1.3811951,0,2.1712503,1.121542,1.0497084,,,0,,,,b'NOT_AVAILABLE',77.65835227619536,9.07072859484679,316.01164476255826,62.852969159735686,100001,3580.5,3545.5,3959.2,0.4342,0.2134,0.7775,0.2413,0.118,0.4276,200111,0.57619244,0.4712377,0.58762455,0.049159165,0.048414983,0.049903348,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2078807228323035008',b' ',7907423,296.98505,43.65852,190.400696022167,189.188570677296,191.6281734542,1715.4529178251,1.0,1.0,b'2MASS J19475641+4339306',15.234,3561,71.0,-89.0,b'SPE70',4.855,0.055,-0.055,b'SPE60',0.0,0.15,-0.15,b'SPE70',0.411,0.045,-0.06,0.44,0.041,-0.076,b'DSEP',3,3,3,12.836,12.15,11.966,b'conf',0.13570469567138327
22,854,6435936,3593,50,74,+0.25,0.14,+0.17,0.13,M2V,0.49,0.05,0.46,0.04,295,+0.19,0.13,+0.17,0.13,+0.02,0.13,1635721458409799680,b'Gaia DR2 2102244967931917184',2102244967931917184,690241110,2015.5,289.5085611563486,0.03769920981620217,41.812023437439755,0.04696681188813475,3.5838116673299734,0.04926969588536801,72.73866,10.751858399908528,0.08704396788391378,-18.22422249015117,0.09174694114266944,-0.27380928,-0.25838533,0.092346296,-0.15139149,0.40005225,-0.26274142,0.030647574,-0.18574205,-0.11519726,-0.2271776,210,0,209,1,4.8708897,318.1544,0.22083288185133484,3.8413878294240003,31,False,6.5604258,1.3689120494986662,0.010624533506228351,-0.05314176,24,14,0.096644856,0,28,False,236,8599.888110038633,5.70029923845742,1508.6731,15.852134,27,2226.12375072464,17.997117729090178,123.69335,16.982515,26,9614.470848352372,15.537377306774106,618.79626,14.804606,1.3768313,0,2.177909,1.1303816,1.0475273,,,0,,,,b'NOT_AVAILABLE',73.44988296177551,13.13183495177941,303.2679745355843,63.01588743016997,100001,3772.365,3582.0,4145.99,0.521,0.194,1.0751,0.308,0.1347,0.6037,200111,0.5307733,0.4394201,0.58868814,0.051400535,0.04984402,0.05295705,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2102244967931917184',b' ',6435936,289.50848,41.812119,276.880903967985,273.125628347147,280.738985095705,960.631320394271,1.0,1.0,b'2MASS J19180203+4148436',15.849,3593,71.0,-86.0,b'SPE70',4.757,0.054,-0.027,b'SPE60',0.26,0.15,-0.15,b'SPE70',0.491,0.03,-0.055,0.503,0.036,-0.054,b'DSEP',1,1,1,13.446,12.778,12.536,b'conf',0.08000092479704823
23,1907,7094486,3594,118,39,+0.39,0.16,+0.27,0.14,M2V,0.51,0.04,0.48,0.04,306,+0.14,0.13,+0.21,0.19,-0.01,0.22,1635721458409799680,b'Gaia DR2 2105151526917259520',2105151526917259520,330604726,2015.5,282.8598614140025,0.05183209962765746,42.66583356413974,0.0636971913337745,2.790090030783506,0.06428138657645262,43.404324,-5.519865701441376,0.11903839808035072,16.77874966011197,0.12126037198579269,-0.06598849,-0.15520918,-0.050353,-0.07757785,0.34746242,-0.12475082,-0.26266423,-0.076843835,-0.043471392,0.023411129,186,0,186,0,16.06851,689.5331,0.4634689329281594,24.823589208456106,31,False,3.6016097,1.3938297239019806,0.01593285791864619,-0.025150837,21,16,0.116340086,0,23,False,201,14282.270371814397,5.337601880044252,2675.7842,15.301373,22,4621.8316663295755,28.491784212100676,162.2163,16.189352,22,14413.088093049073,30.778419639603605,468.28552,14.365027,1.3327657,0,1.8243246,0.8879795,0.9363451,,,0,,,,b'NOT_AVAILABLE',72.29320651200217,18.000516301200268,292.862670910052,65.0876992073643,100001,3915.3333,3901.0,4103.0,,,,,,,200111,0.7770067,0.7075533,0.782727,0.12782599,0.1215551,0.13409688,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2105151526917259520',b' ',7094486,282.85992,42.66576,355.018639546752,347.033968417065,363.372472468788,871.745525946073,1.0,1.0,b'2MASS J18512638+4239567',15.278,3597,72.0,-86.0,b'SPE70',4.734,0.052,-0.017,b'SPE60',0.4,0.05,-0.15,b'SPE70',0.514,0.026,-0.051,0.522,0.031,-0.046,b'DSEP',1,1,1,13.192,12.518,12.347,b'conf',0.06969082864409844
25,2715,9837661,3640,286,47,+0.20,0.22,+0.14,0.17,M1V,0.50,0.09,0.47,0.08,496,X,X,+0.40,0.34,-0.04,0.40,1635721458409799680,b'Gaia DR2 2128141834020807680',2128141834020807680,971777244,2015.5,294.52859699075077,0.05111413341991131,46.64087367610794,0.06565641076361921,1.2752803331336608,0.06366019586928431,20.032618,-4.050211490426809,0.11018118030377994,-21.314347383728126,0.12094717941639292,0.11356434,0.18871003,0.0074258638,-0.09927192,0.3147205,-0.140066,-0.30207902,-0.15329862,-0.027341649,0.041414294,204,0,203,1,0.65920764,210.71422,0.0,0.0,31,False,3.285183,1.4245427438833098,0.01713949096681942,0.09252228,23,16,0.116920695,0,25,False,219,3192.05226029165,2.6953898246048285,1184.2637,16.92819,25,1055.0225212645305,12.530724631808658,84.194855,17.793234,24,3152.1327969972963,9.400270489175016,335.32364,16.01541,1.3180095,0,1.7778244,0.86504364,0.91278076,,,0,,,,b'NOT_AVAILABLE',79.506896406075,12.001741339173886,315.11778850448724,66.28023584837955,100001,4185.06,3951.9424,4627.3696,1.007,0.8,1.2109,0.497,0.3964,0.613,200111,0.6468816,0.5291268,0.72544914,0.11565144,0.10334578,0.1279571,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2128141834020807680',b' ',9837661,294.52859,46.640968,769.146001739017,732.367379384128,809.73908108653,1143.25736512204,1.0,1.0,b'2MASS J19380686+4638274',16.835,3640,81.0,-90.0,b'SPE70',4.744,0.056,-0.024,b'KIC0',0.21,0.15,-0.15,b'SPE70',0.503,0.03,-0.056,0.513,0.036,-0.054,b'DSEP',2,3,3,14.832,14.224,13.884,b'conf',0.08058308912329405
26,1902,5809954,3647,55,74,-0.08,0.14,-0.06,0.13,M1V,0.46,0.04,0.44,0.04,85,+0.08,0.15,-0.03,0.15,-0.03,0.14,1635721458409799680,b'Gaia DR2 2076782134064256256',2076782134064256256,1264990159,2015.5,296.87696141694806,0.027556284235066227,41.08045111483075,0.032424211402116494,4.518920305705566,0.03469176616663421,130.25916,21.74990699803297,0.05765992315734911,-26.387573937707536,0.056427109934869955,0.07980757,0.14984733,-0.14409104,-0.1250353,0.36297727,-0.19480914,-0.29895207,-0.26040182,-0.14244097,0.031840805,246,0,246,0,11.528055,591.81384,0.2625649370004031,12.748385979736817,31,False,9.85656,1.391521938314639,0.008355433647865484,0.0051188455,28,16,0.063000135,0,30,False,262,26631.750545814277,8.000735611943377,3328.6628,14.6248665,29,7519.437572787783,16.148042911501214,465.65628,15.660925,30,28795.030694966237,40.585068199668314,709.49817,13.6136265,1.363578,0,2.0472984,1.0360584,1.01124,,,0,,,,b'NOT_AVAILABLE',75.34366061495913,7.8824060755619705,313.78845737755904,60.49871148424423,100001,3760.0,3675.75,3917.75,1.7585,1.5099,2.056,0.8753,0.7409,1.0296,200111,0.7488053,0.68971735,0.78352463,0.10096803,0.09914854,0.102787524,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=2076782134064256256',b' ',5809954,296.87683,41.080582,219.904954173741,218.227318223812,221.608117036356,2066.41771977963,1.0,1.0,b'2MASS J19473044+4104500',14.645,3645,72.0,-90.0,b'SPE70',4.797,0.071,-0.038,b'PHO16',-0.08,0.15,-0.15,b'SPE70',0.449,0.04,-0.061,0.46,0.043,-0.059,b'DSEP',0,1,2,12.29,11.631,11.452,b'cand',0.06516349569753
