Nested Sampling Global Log-Evidence           :    0.770838655788333313E+03  +/-    0.147260106510356731E+00
Nested Importance Sampling Global Log-Evidence:    0.769283504224524904E+03  +/-    0.812136320940268081E-01

Dim No.       Mean        Sigma
   1    0.811452490685793215E+01    0.224494071914634562E-03
   2    0.245500933937016502E+07                         NaN
   3    0.380867635486430503E-01    0.105024304041766918E-02
   4    0.364796560538007464E+00    0.218598883821666895E+00
   5    0.252443136774171017E+00    0.225296487411418833E+00
   6    0.303677027974307567E+00    0.246820275089170232E+00
   7    0.319955682625332081E+02    0.368942365704067132E+01
   8   -0.523739927591611684E-04    0.133225541083868079E-04
   9    0.109356953592620414E+02    0.163567509844249628E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.811451606313369211E+01
   2    0.245500933938440587E+07
   3    0.390625094165909029E-01
   4    0.616483045180658662E+00
   5    0.269938169738925052E-01
   6    0.248886814935001255E-01
   7    0.288710823235950187E+02
   8   -0.499956712509177088E-04
   9    0.140472102157950274E+01

MAP Parameters
Dim No.        Parameter
   1    0.811451606313369211E+01
   2    0.245500933938440587E+07
   3    0.390625094165909029E-01
   4    0.616483045180658662E+00
   5    0.269938169738925052E-01
   6    0.248886814935001255E-01
   7    0.288710823235950187E+02
   8   -0.499956712509177088E-04
   9    0.140472102157950274E+01
