Nested Sampling Global Log-Evidence           :    0.787799259184431435E+03  +/-    0.125367783003523164E+00
Nested Importance Sampling Global Log-Evidence:    0.786056926870963594E+03  +/-    0.204223398969643144E+00

Dim No.       Mean        Sigma
   1    0.811447294798237451E+01    0.204865629623641023E-03
   2    0.245500934044086514E+07                         NaN
   3    0.377648122798567021E-01    0.752694673158157729E-03
   4    0.268227028104849385E+00    0.169196537319199314E+00
   5    0.305920898861995139E+00    0.239993139085903279E+00
   6    0.279616170227814986E+00    0.238726765153798204E+00
   7    0.334760374150891451E+02    0.228499136210625364E+01
   8   -0.500997121197521055E-04    0.135452673053627588E-04
   9    0.610132760791421358E+01    0.987495281099237410E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.811445812970296743E+01
   2    0.245500934030644223E+07
   3    0.391085209163127279E-01
   4    0.154554887821920756E+00
   5    0.915381137902575824E-02
   6    0.308139599735578529E+00
   7    0.365125789238212448E+02
   8   -0.436854505693701298E-04
   9    0.339438802380558069E+00

MAP Parameters
Dim No.        Parameter
   1    0.811445812970296743E+01
   2    0.245500934030644223E+07
   3    0.391085209163127279E-01
   4    0.154554887821920756E+00
   5    0.915381137902575824E-02
   6    0.308139599735578529E+00
   7    0.365125789238212448E+02
   8   -0.436854505693701298E-04
   9    0.339438802380558069E+00
