Nested Sampling Global Log-Evidence           :    0.380025402916846215E+05  +/-    0.215931374393987657E+00
Nested Importance Sampling Global Log-Evidence:    0.380012751526455904E+05  +/-    0.349258865571596133E+00

Dim No.       Mean        Sigma
   1    0.245524052947623916E+01    0.115423898285848410E-06
   2    0.245500382179033058E+07                         NaN
   3    0.177614119095032025E+00    0.166935526362269808E-02
   4    0.516530067015061101E+00    0.268177410767713210E-01
   5    0.777361811838415129E+00    0.143858875476878173E+00
   6    0.208684012445911532E+00    0.781136854342605325E-01
   7    0.109156532430061510E+02    0.164965861170492889E+00
   8   -0.520291343968358661E-03    0.129158419758710594E-04
   9    0.629831818160369494E+03    0.107682237377242185E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.245524050646406433E+01
   2    0.245500382180217607E+07
   3    0.180637865809215370E+00
   4    0.546515669499931911E+00
   5    0.526810969292647591E+00
   6    0.311850364291262450E+00
   7    0.108555795871336809E+02
   8   -0.517278991368541651E-03
   9    0.621700378329826549E+03

MAP Parameters
Dim No.        Parameter
   1    0.245524050646406433E+01
   2    0.245500382180217607E+07
   3    0.180637865809215370E+00
   4    0.546515669499931911E+00
   5    0.526810969292647591E+00
   6    0.311850364291262450E+00
   7    0.108555795871336809E+02
   8   -0.517278991368541651E-03
   9    0.621700378329826549E+03
