KOI KIC Teff ETeff eTeff Fe/H e_Fe/H M/H e_M/H SpType Mstar e_Mstar Rstar e_Rstar Dis Fe/H-T e_Fe/H-T Fe/H-M e_Fe/H-M M/H-M e_M/H-M
4290 5868793 3187 62 88 +0.10 0.16 +0.07 0.13 M4V 0.18 0.04 0.20 0.03 77 -0.08 0.14 +0.12 0.20 -0.02 0.21
2842 8733898 3204 40 67 -0.30 0.12 -0.21 0.12 M4V 0.16 0.02 0.18 0.02 34 -0.53 0.29 -0.30 0.11 -0.24 0.11
961 8561063 3204 59 46 -0.48 0.12 -0.33 0.12 M4V 0.13 0.05 0.17 0.04 38 -0.53 0.13 -0.64 0.14 -0.56 0.14
1725B 10905746 3253 62 57 +0.16 0.13 +0.11 0.12 M4V 0.21 0.04 0.23 0.04 34 +0.15 0.12 +0.21 0.14 +0.10 0.14
2704 9730163 3267 69 51 +0.27 0.13 +0.19 0.12 M4V 0.24 0.05 0.26 0.04 118 +0.22 0.14 +0.38 0.15 +0.14 0.17
3749 11547869 3337 121 59 +0.10 0.18 +0.07 0.15 M3V 0.28 0.07 0.29 0.06 74 +0.08 0.14 +0.16 0.22 +0.14 0.27
249B 9390653 3349 194 47 -0.11 0.27 -0.08 0.20 M3V 0.24 0.09 0.25 0.07 39 -0.23 0.27 -0.14 0.25 -0.11 0.23
1702 7304449 3356 59 55 -0.06 0.13 -0.05 0.12 M3V 0.26 0.05 0.27 0.04 60 -0.02 0.12 -0.12 0.14 -0.12 0.12
3119 5551672 3371 64 142 -0.40 0.19 -0.29 0.16 M3V 0.22 0.06 0.23 0.05 51 -0.46 0.13 -0.32 0.23 -0.24 0.26
463 8845205 3389 60 49 -0.12 0.13 -0.09 0.12 M3V 0.26 0.05 0.26 0.04 47 -0.11 0.12 -0.29 0.13 -0.28 0.13
3497 8424002 3412 61 91 +0.02 0.16 +0.01 0.14 M3V 0.32 0.06 0.32 0.05 43 +0.09 0.18 +0.37 0.18 +0.10 0.18
256 11548140 3450 50 50 +0.47 0.12 +0.33 0.12 M3V 0.51 0.15 0.54 0.01 155 +0.58 0.10 +0.51 0.14 +0.39 0.14
2453 8631751 3451 89 67 -0.44 0.15 -0.31 0.14 M3V 0.27 0.06 0.27 0.05 33 -0.44 0.14 -0.61 0.16 -0.46 0.17
2542 6183511 3466 58 85 +0.10 0.15 +0.07 0.14 M2V 0.37 0.06 0.36 0.05 62 -0.03 0.15 +0.29 0.15 +0.20 0.17
2705 11453592 3494 66 59 +0.11 0.14 +0.07 0.13 M2V 0.39 0.06 0.38 0.05 69 +0.33 0.13 +0.12 0.16 +0.11 0.17
1422 11497958 3522 59 62 -0.08 0.13 -0.06 0.13 M2V 0.39 0.05 0.37 0.04 81 -0.15 0.12 -0.24 0.14 -0.27 0.15
1146 8351704 3560 87 47 -0.18 0.14 -0.13 0.13 M2V 0.39 0.05 0.37 0.05 93 -0.24 0.14 -0.18 0.15 -0.29 0.13
1686 6149553 3561 49 97 -0.20 0.15 -0.14 0.13 M2V 0.39 0.06 0.37 0.05 84 -0.31 0.15 -0.10 0.17 +0.01 0.16
249A 9390653 3562 55 67 -0.13 0.14 -0.10 0.13 M2V 0.40 0.05 0.39 0.04 46 -0.24 0.13 -0.20 0.13 -0.20 0.14
899 7907423 3565 68 39 +0.01 0.13 +0.00 0.13 M2V 0.43 0.05 0.41 0.04 117 +0.25 0.12 +0.28 0.13 +0.22 0.12
2626 11768142 3568 54 104 -0.02 0.17 -0.01 0.15 M2V 0.43 0.06 0.40 0.05 169 -0.25 0.13 -0.01 0.20 -0.10 0.21
936 9388479 3582 73 34 +0.19 0.12 +0.13 0.12 M2V 0.47 0.04 0.45 0.04 145 +0.21 0.12 +0.22 0.12 +0.12 0.11
854 6435936 3593 50 74 +0.25 0.14 +0.17 0.13 M2V 0.49 0.05 0.46 0.04 295 +0.19 0.13 +0.17 0.13 +0.02 0.13
1907 7094486 3594 118 39 +0.39 0.16 +0.27 0.14 M2V 0.51 0.04 0.48 0.04 306 +0.14 0.13 +0.21 0.19 -0.01 0.22
1725A 10905746 3618 48 51 -0.06 0.12 -0.05 0.12 M2V 0.44 0.04 0.42 0.04 45 +0.00 0.11 -0.07 0.12 -0.07 0.12
2662 3426367 3628 54 79 +0.14 0.14 +0.10 0.13 M2V 0.48 0.04 0.46 0.04 56 +0.28 0.15 +0.32 0.16 +0.19 0.17
2715 9837661 3640 286 47 +0.20 0.22 +0.14 0.17 M1V 0.50 0.09 0.47 0.08 496 X X +0.40 0.34 -0.04 0.40
1902 5809954 3647 55 74 -0.08 0.14 -0.06 0.13 M1V 0.46 0.04 0.44 0.04 85 +0.08 0.15 -0.03 0.15 -0.03 0.14
1681 5531953 3657 59 69 -0.12 0.14 -0.09 0.13 M1V 0.46 0.04 0.43 0.04 153 -0.22 0.13 -0.26 0.17 -0.23 0.17
3444 5384713 3665 72 74 +0.16 0.14 +0.11 0.13 M1V 0.51 0.04 0.48 0.04 100 +0.39 0.17 +0.22 0.17 +0.11 0.18
596 10388286 3670 47 62 +0.01 0.13 +0.00 0.12 M1V 0.49 0.04 0.46 0.04 117 +0.30 0.13 +0.13 0.12 +0.08 0.12
3144 5688790 3679 78 90 -0.31 0.17 -0.22 0.15 M1V 0.45 0.05 0.42 0.05 99 +0.09 0.14 -0.01 0.20 +0.05 0.21
2862 6679295 3679 169 72 +0.26 0.18 +0.18 0.16 M1V 0.52 0.07 0.50 0.06 289 +0.56 0.15 +0.23 0.27 -0.02 0.28
3263 11853130 3680 104 94 +0.00 0.17 -0.00 0.14 M1V 0.49 0.05 0.46 0.05 229 -0.25 0.14 -0.26 0.22 -0.30 0.24
781 11923270 3691 74 70 -0.00 0.14 -0.01 0.13 M1V 0.50 0.04 0.47 0.04 188 +0.35 0.15 +0.19 0.16 +0.14 0.17
1201 4061149 3697 87 48 -0.19 0.14 -0.14 0.13 M1V 0.47 0.04 0.45 0.04 113 -0.10 0.14 +0.00 0.14 +0.06 0.15
818 4913852 3698 32 119 +0.28 0.14 +0.20 0.13 M1V 0.54 0.04 0.51 0.04 326 +0.15 0.13 +0.21 0.18 +0.07 0.19
1843 5080636 3705 34 83 +0.27 0.13 +0.19 0.13 M1V 0.54 0.04 0.51 0.03 151 +0.39 0.13 +0.52 0.15 +0.31 0.14
