,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
271054,0.1709,3.511,-2.365,5.0569999999999995,0.2027,-0.13,0.0,0.4,16.66,13.56,12.06,10.89,10.22,8.781,8.231,7.9910000000000005,11.52,7.83,7.7139999999999995,,
271150,0.1609,3.511,-2.444,5.099,0.1874,-0.13,0.0,0.6,16.89,13.77,12.26,11.08,10.42,8.979,8.427999999999999,8.187999999999999,11.72,8.027000000000001,7.912999999999999,,
278376,0.1709,3.511,-2.365,5.056,0.2029,-0.12,0.0,0.4,16.66,13.57,12.07,10.89,10.22,8.781,8.232000000000001,7.9910000000000005,11.53,7.83,7.7139999999999995,,
278472,0.1609,3.511,-2.444,5.099,0.1875,-0.12,0.0,0.6,16.89,13.77,12.27,11.09,10.42,8.978,8.427999999999999,8.187999999999999,11.73,8.027000000000001,7.912999999999999,,
285652,0.181,3.511,-2.302,5.026,0.2162,-0.11,0.0,0.3,16.47,13.41,11.91,10.74,10.06,8.623,8.075,7.832999999999999,11.37,7.672000000000001,7.555,,
285699,0.1709,3.511,-2.366,5.056,0.203,-0.11,0.0,0.4,16.67,13.58,12.08,10.9,10.22,8.781,8.232000000000001,7.9910000000000005,11.54,7.829,7.712999999999999,,
285747,0.1709,3.511,-2.381,5.0680000000000005,0.2002,-0.11,0.0,0.5,16.7,13.61,12.11,10.93,10.26,8.82,8.271,8.03,11.57,7.87,7.754,,
285795,0.1609,3.511,-2.445,5.098,0.1876,-0.11,0.0,0.6,16.9,13.78,12.28,11.09,10.42,8.978,8.429,8.189,11.73,8.027000000000001,7.912000000000001,,
285844,0.1609,3.511,-2.458,5.109,0.1853,-0.11,0.0,0.7,16.92,13.81,12.3,11.12,10.45,9.013,8.463,8.224,11.76,8.062999999999999,7.949,,
292929,0.1911,3.511,-2.239,4.996,0.2299,-0.1,0.0,0.2,16.28,13.25,11.76,10.58,9.907,8.466000000000001,7.919,7.6770000000000005,11.22,7.517,7.398,,
292975,0.181,3.511,-2.302,5.026,0.2163,-0.1,0.0,0.3,16.48,13.42,11.92,10.74,10.07,8.622,8.076,7.834,11.38,7.672000000000001,7.553999999999999,,
293022,0.1709,3.51,-2.366,5.055,0.2031,-0.1,0.0,0.4,16.67,13.59,12.09,10.9,10.22,8.78,8.232999999999999,7.9910000000000005,11.54,7.829,7.712000000000001,,
293023,0.181,3.511,-2.318,5.038,0.2132,-0.1,0.0,0.4,16.51,13.45,11.95,10.78,10.1,8.662,8.115,7.874,11.41,7.7139999999999995,7.596,,
293070,0.1709,3.511,-2.381,5.0680000000000005,0.2003,-0.1,0.0,0.5,16.7,13.62,12.12,10.94,10.26,8.82,8.272,8.031,11.57,7.87,7.752999999999999,,
293118,0.1609,3.51,-2.445,5.098,0.1877,-0.1,0.0,0.6,16.9,13.79,12.29,11.1,10.42,8.978,8.43,8.189,11.74,8.027000000000001,7.912000000000001,,
293119,0.1709,3.511,-2.395,5.079,0.1977,-0.1,0.0,0.6,16.73,13.64,12.15,10.97,10.3,8.856,8.307,8.067,11.6,7.907,7.791,,
293167,0.1609,3.511,-2.459,5.1080000000000005,0.1854,-0.1,0.0,0.7,16.93,13.82,12.31,11.13,10.45,9.013,8.464,8.224,11.77,8.062999999999999,7.949,,
300298,0.181,3.511,-2.303,5.025,0.2165,-0.09,0.0,0.3,16.48,13.43,11.93,10.75,10.07,8.622,8.076,7.834,11.38,7.672000000000001,7.553999999999999,,
300345,0.1709,3.51,-2.367,5.055,0.2033,-0.09,0.0,0.4,16.68,13.6,12.1,10.91,10.23,8.78,8.234,7.992000000000001,11.55,7.829,7.711,,
300346,0.181,3.511,-2.318,5.037,0.2134,-0.09,0.0,0.4,16.51,13.45,11.96,10.78,10.1,8.662,8.116,7.874,11.42,7.7139999999999995,7.596,,
300393,0.1709,3.511,-2.3819999999999997,5.067,0.2004,-0.09,0.0,0.5,16.71,13.63,12.13,10.94,10.26,8.818999999999999,8.273,8.031,11.58,7.87,7.752999999999999,,
300441,0.1609,3.51,-2.4459999999999997,5.0969999999999995,0.1879,-0.09,0.0,0.6,16.9,13.8,12.3,11.1,10.42,8.978,8.431000000000001,8.19,11.74,8.027000000000001,7.912000000000001,,
300442,0.1709,3.511,-2.396,5.078,0.1979,-0.09,0.0,0.6,16.74,13.65,12.16,10.97,10.3,8.856,8.309,8.068,11.61,7.9079999999999995,7.791,,
300490,0.1609,3.511,-2.459,5.1080000000000005,0.1855,-0.09,0.0,0.7,16.93,13.82,12.32,11.13,10.46,9.013,8.465,8.225,11.77,8.064,7.9479999999999995,,
307622,0.181,3.51,-2.303,5.024,0.2167,-0.08,0.0,0.3,16.49,13.43,11.94,10.75,10.07,8.622,8.077,7.834,11.39,7.672000000000001,7.553,,
307623,0.1911,3.511,-2.256,5.008,0.2269,-0.08,0.0,0.3,16.32,13.29,11.81,10.63,9.95,8.506,7.961,7.718999999999999,11.26,7.559,7.44,,
307669,0.181,3.511,-2.319,5.037,0.2136,-0.08,0.0,0.4,16.52,13.46,11.97,10.78,10.11,8.662,8.117,7.875,11.42,7.7139999999999995,7.596,,
307716,0.1709,3.51,-2.383,5.066,0.2006,-0.08,0.0,0.5,16.71,13.63,12.14,10.95,10.27,8.818999999999999,8.273,8.032,11.59,7.87,7.752999999999999,,
307717,0.181,3.511,-2.334,5.048,0.2107,-0.08,0.0,0.5,16.55,13.49,12.0,10.82,10.14,8.7,8.154,7.912999999999999,11.46,7.752999999999999,7.636,,
307764,0.1609,3.51,-2.4459999999999997,5.096,0.188,-0.08,0.0,0.6,16.91,13.81,12.31,11.11,10.42,8.978,8.431000000000001,8.19,11.75,8.027000000000001,7.9110000000000005,,
307765,0.1709,3.511,-2.397,5.078,0.198,-0.08,0.0,0.6,16.74,13.66,12.17,10.98,10.3,8.856,8.31,8.068,11.62,7.9079999999999995,7.791,,
307813,0.1609,3.51,-2.46,5.107,0.1857,-0.08,0.0,0.7,16.93,13.83,12.33,11.14,10.46,9.013,8.466000000000001,8.226,11.78,8.064,7.9479999999999995,,
307814,0.1709,3.511,-2.4090000000000003,5.088,0.1957,-0.08,0.0,0.7,16.76,13.68,12.19,11.0,10.33,8.889,8.341000000000001,8.101,11.64,7.941,7.825,,
314945,0.181,3.51,-2.3040000000000003,5.024,0.2168,-0.07,0.0,0.3,16.49,13.44,11.95,10.75,10.07,8.622,8.078,7.834,11.4,7.672000000000001,7.553,,
314946,0.1911,3.511,-2.2569999999999997,5.007,0.227,-0.07,0.0,0.3,16.33,13.3,11.82,10.63,9.952,8.506,7.962000000000001,7.718999999999999,11.27,7.559,7.44,,
314992,0.181,3.511,-2.32,5.0360000000000005,0.2137,-0.07,0.0,0.4,16.52,13.47,11.98,10.79,10.11,8.662,8.118,7.875,11.43,7.7139999999999995,7.596,,
315039,0.1709,3.51,-2.383,5.066,0.2007,-0.07,0.0,0.5,16.71,13.64,12.15,10.95,10.27,8.818999999999999,8.274,8.032,11.59,7.87,7.752999999999999,,
315040,0.181,3.511,-2.334,5.048,0.2108,-0.07,0.0,0.5,16.55,13.5,12.01,10.82,10.14,8.7,8.155,7.912999999999999,11.46,7.752999999999999,7.636,,
315087,0.1609,3.509,-2.447,5.096,0.1881,-0.07,0.0,0.6,16.91,13.81,12.31,11.11,10.43,8.978,8.432,8.191,11.75,8.027000000000001,7.9110000000000005,,
315088,0.1709,3.511,-2.397,5.077,0.1981,-0.07,0.0,0.6,16.74,13.67,12.17,10.98,10.3,8.856,8.311,8.068999999999999,11.62,7.9079999999999995,7.791,,
