,KIC,KOI
8,11547869,3749
15,8424002,3497
18,6183511,2542
23,8351704,1146
25,6149553,1686
26,7907423,899
29,6435936,854
30,7094486,1907
32,9837661,2715
33,5809954,1902
38,10388286,596
42,11853130,3263
44,11923270,781
45,4061149,1201
48,4913852,818
49,5080636,1843
50,7455287,886
52,2973386,3034
53,8167996,1867
54,6609270,3090
55,9787239,952
56,10386984,739
57,11852982,247
58,9761199,1459
59,10990886,478
60,11187837,252
61,4725681,817
62,10329835,2058
65,6497146,3284
66,6497146,3284
67,9710326,947
68,2556650,2156
70,10525027,2006
71,6382217,2036
72,11752906,253
73,8890150,2650
74,7021681,255
76,10166274,1078
77,5794240,254
78,8229458,2238
82,4172805,4427
83,8235924,2347
84,9427402,1397
86,11192235,2329
87,6773862,1868
88,8367644,1879
90,5364071,248
92,6666233,2306
93,5601258,2191
95,10525049,4252
96,2986833,4875
98,11337141,1649
99,11129738,1427
100,9757613,250
103,10122538,2926
104,12066569,3282
105,7870390,898
106,6186964,2839
107,4139816,812
108,10332883,1880
110,9150827,1408
112,2161536,2130
115,8346392,1141
116,9573685,2057
117,10118816,1085
118,10395543,531
119,10073672,2764
120,10591855,2845
121,5131180,641
124,11192141,977
125,9202151,1393
126,9654468,2417
127,10027247,2418
129,8509442,2992
131,6023859,3414
132,6106282,4087
133,6197344,4463SE
134,6197344,4463SE
