,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
37,0.5334,3.6060000000000003,-1.202,4.749,0.5106,-0.5,0.0,0.2,12.11,9.376,8.08,7.604,7.35,6.169,5.5489999999999995,5.367999999999999,7.989,5.346,5.329,,
86,0.5233,3.603,-1.236,4.76,0.4992,-0.5,0.0,0.3,12.24,9.498,8.19,7.697,7.432,6.244,5.627000000000001,5.442,8.09,5.416,5.393,,
87,0.5334,3.6069999999999998,-1.198,4.749,0.5106,-0.5,0.0,0.3,12.09,9.357999999999999,8.07,7.595,7.3420000000000005,6.162000000000001,5.539,5.3629999999999995,7.978,5.345,5.329,,
136,0.5233,3.6039999999999996,-1.232,4.76,0.4994,-0.5,0.0,0.4,12.23,9.482999999999999,8.18,7.689,7.425,6.2379999999999995,5.619,5.438,8.08,5.414,5.393,,
137,0.5334,3.608,-1.196,4.75,0.5102,-0.5,0.0,0.4,12.09,9.35,8.068,7.5920000000000005,7.337000000000001,6.1579999999999995,5.5329999999999995,5.361000000000001,7.974,5.348,5.332999999999999,,
187,0.5233,3.605,-1.23,4.76,0.4993,-0.5,0.0,0.5,12.22,9.472999999999999,8.176,7.684,7.42,6.234,5.6129999999999995,5.435,8.075,5.414,5.394,,
188,0.5334,3.609,-1.195,4.751,0.5096,-0.5,0.0,0.5,12.09,9.345,8.068,7.59,7.335,6.156000000000001,5.529,5.361000000000001,7.972,5.35,5.336,,
238,0.5233,3.605,-1.229,4.76,0.4991,-0.5,0.0,0.6,12.22,9.468,8.175,7.682,7.417000000000001,6.231,5.609,5.433,8.072000000000001,5.416,5.396,,
239,0.5334,3.609,-1.195,4.752,0.5091,-0.5,0.0,0.6,12.09,9.34,8.067,7.5889999999999995,7.334,6.154,5.526,5.36,7.97,5.352,5.3389999999999995,,
290,0.5233,3.6060000000000003,-1.229,4.761,0.4988,-0.5,0.0,0.7,12.22,9.464,8.175,7.681,7.416,6.229,5.606,5.433,8.071,5.417000000000001,5.398,,
342,0.5233,3.6060000000000003,-1.228,4.761,0.4987,-0.5,0.0,0.8,12.22,9.46,8.173,7.68,7.414,6.227,5.603,5.432,8.068999999999999,5.417000000000001,5.399,,
394,0.5233,3.6060000000000003,-1.227,4.761,0.499,-0.5,0.0,0.9,12.22,9.457,8.171,7.678,7.412000000000001,6.226,5.601,5.43,8.067,5.417000000000001,5.398,,
447,0.5233,3.6060000000000003,-1.226,4.76,0.4993,-0.5,0.0,1.0,12.21,9.454,8.17,7.676,7.4110000000000005,6.224,5.599,5.428,8.065,5.415,5.397,,
500,0.5233,3.6060000000000003,-1.226,4.76,0.4996,-0.5,0.0,1.1,12.21,9.453,8.168,7.675,7.409,6.222,5.597,5.4270000000000005,8.064,5.414,5.395,,
554,0.5233,3.6060000000000003,-1.225,4.7589999999999995,0.5001,-0.5,0.0,1.2,12.21,9.452,8.167,7.672999999999999,7.4079999999999995,6.221,5.596,5.425,8.062000000000001,5.412000000000001,5.393,,
607,0.5233,3.6060000000000003,-1.224,4.758,0.5005,-0.5,0.0,1.3,12.21,9.45,8.165,7.672000000000001,7.406000000000001,6.218999999999999,5.593999999999999,5.422999999999999,8.06,5.41,5.392,,
660,0.5233,3.6060000000000003,-1.224,4.757,0.5009,-0.5,0.0,1.4,12.21,9.448,8.164,7.67,7.404,6.2170000000000005,5.5920000000000005,5.421,8.059,5.4079999999999995,5.39,,
714,0.5233,3.6060000000000003,-1.2229999999999999,4.757,0.5012,-0.5,0.0,1.5,12.21,9.447000000000001,8.162,7.667999999999999,7.403,6.216,5.59,5.42,8.057,5.407,5.388,,
767,0.5233,3.6060000000000003,-1.222,4.756,0.5015,-0.5,0.0,1.6,12.2,9.445,8.16,7.667000000000001,7.401,6.2139999999999995,5.5889999999999995,5.417999999999999,8.056000000000001,5.405,5.3870000000000005,,
820,0.5233,3.6060000000000003,-1.222,4.756,0.5019,-0.5,0.0,1.7,12.2,9.443,8.158,7.665,7.4,6.212999999999999,5.587000000000001,5.417000000000001,8.054,5.404,5.385,,
874,0.5233,3.6060000000000003,-1.2209999999999999,4.755,0.5022,-0.5,0.0,1.8,12.2,9.441,8.157,7.664,7.398,6.211,5.586,5.415,8.052,5.402,5.3839999999999995,,
928,0.5233,3.6060000000000003,-1.2209999999999999,4.755,0.5025,-0.5,0.0,1.9,12.2,9.44,8.155,7.662000000000001,7.397,6.21,5.584,5.412999999999999,8.051,5.401,5.382000000000001,,
