,KIC,KOI
0,11547869,3749
1,8424002,3497
2,6183511,2542
3,8351704,1146
4,6149553,1686
5,7907423,899
6,6435936,854
7,7094486,1907
8,9837661,2715
9,5809954,1902
10,10388286,596
11,11853130,3263
12,11923270,781
13,4061149,1201
14,4913852,818
15,5080636,1843
16,7455287,886
17,2973386,3034
18,8167996,1867
19,6609270,3090
20,9787239,952
21,10386984,739
22,11852982,247
23,9761199,1459
24,10990886,478
25,11187837,252
26,4725681,817
27,10329835,2058
28,6497146,3284
29,6497146,3284
30,9710326,947
31,2556650,2156
32,10525027,2006
33,6382217,2036
34,11752906,253
35,8890150,2650
36,7021681,255
37,10166274,1078
38,5794240,254
39,8229458,2238
40,4172805,4427
41,8235924,2347
42,9427402,1397
43,11192235,2329
44,6773862,1868
45,8367644,1879
46,5364071,248
47,6666233,2306
48,5601258,2191
49,10525049,4252
50,2986833,4875
51,11337141,1649
52,11129738,1427
53,9757613,250
54,10122538,2926
55,12066569,3282
56,7870390,898
57,6186964,2839
58,4139816,812
59,10332883,1880
60,9150827,1408
61,2161536,2130
62,8346392,1141
63,9573685,2057
64,10118816,1085
65,10395543,531
66,10073672,2764
67,10591855,2845
68,5131180,641
69,11192141,977
70,9202151,1393
71,9654468,2417
72,10027247,2418
73,8509442,2992
74,6023859,3414
75,6106282,4087
76,6197344,4463SE
77,6197344,4463SE
