,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
7438,0.473,3.58,-1.43,4.834,0.4362,-0.49,0.0,0.2,13.05,10.23,8.844,8.238,7.897,6.662000000000001,6.065,5.854,8.687999999999999,5.803999999999999,5.742999999999999,,
14764,0.473,3.5789999999999997,-1.4340000000000002,4.834,0.4358,-0.48,0.0,0.2,13.07,10.25,8.863,8.249,7.905,6.667999999999999,6.07,5.86,8.703,5.81,5.747999999999999,,
14812,0.473,3.58,-1.433,4.834,0.4361,-0.48,0.0,0.3,13.06,10.24,8.857000000000001,8.246,7.903,6.667000000000001,6.069,5.858,8.698,5.808,5.747999999999999,,
14860,0.473,3.58,-1.432,4.833,0.4363,-0.48,0.0,0.4,13.06,10.23,8.852,8.243,7.901,6.665,6.067,5.857,8.693999999999999,5.807,5.747000000000001,,
14909,0.473,3.58,-1.431,4.833,0.4366,-0.48,0.0,0.5,13.05,10.23,8.847000000000001,8.238999999999999,7.899,6.664,6.066,5.856,8.69,5.806,5.746,,
16529,0.4528,3.58,-1.4580000000000002,4.827,0.4301,-0.48,0.0,3.6,13.14,10.31,8.927,8.314,7.971,6.733,6.132999999999999,5.926,8.763,5.872999999999999,5.818,,
16581,0.4528,3.58,-1.4580000000000002,4.827,0.4303,-0.48,0.0,3.7,13.14,10.31,8.926,8.312999999999999,7.97,6.732,6.132000000000001,5.925,8.762,5.872000000000001,5.817,,
16634,0.4528,3.58,-1.4569999999999999,4.8260000000000005,0.4305,-0.48,0.0,3.8,13.14,10.3,8.925,8.312000000000001,7.968999999999999,6.731,6.131,5.9239999999999995,8.761000000000001,5.871,5.816,,
16687,0.4528,3.58,-1.4569999999999999,4.8260000000000005,0.4306,-0.48,0.0,3.9,13.14,10.3,8.924,8.311,7.968,6.73,6.13,5.9239999999999995,8.761000000000001,5.87,5.815,,
16740,0.4528,3.58,-1.4569999999999999,4.8260000000000005,0.4308,-0.48,0.0,4.0,13.14,10.3,8.923,8.31,7.9670000000000005,6.73,6.129,5.922000000000001,8.759,5.869,5.814,,
