,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
256557,0.1508,3.511,-2.5069999999999997,5.131,0.1749,-0.15,0.0,0.7,17.08,13.93,12.41,11.24,10.58,9.14,8.586,8.347999999999999,11.88,8.187000000000001,8.075,5868793.0,4290
256657,0.1407,3.511,-2.5860000000000003,5.172000000000001,0.1611,-0.15,0.0,0.9,17.31,14.13,12.61,11.43,10.77,9.335,8.78,8.543,12.07,8.382,8.271,5868793.0,4290
257393,0.1407,3.511,-2.59,5.175,0.1606,-0.15,0.0,2.3,17.32,14.14,12.62,11.45,10.78,9.346,8.791,8.554,12.08,8.392999999999999,8.283,5868793.0,4290
257709,0.1407,3.511,-2.59,5.175,0.1605,-0.15,0.0,2.9,17.32,14.14,12.62,11.45,10.78,9.347000000000001,8.792,8.555,12.08,8.394,8.283999999999999,5868793.0,4290
258132,0.1407,3.511,-2.589,5.1739999999999995,0.1607,-0.15,0.0,3.7,17.32,14.14,12.62,11.44,10.78,9.343,8.789,8.551,12.08,8.391,8.28,5868793.0,4290
258662,0.1407,3.511,-2.588,5.1739999999999995,0.1608,-0.15,0.0,4.7,17.32,14.13,12.61,11.44,10.78,9.341000000000001,8.787,8.549,12.08,8.389,8.277999999999999,5868793.0,4290
259295,0.1407,3.511,-2.589,5.1739999999999995,0.1608,-0.15,0.0,5.9,17.32,14.13,12.62,11.44,10.78,9.343,8.788,8.551,12.08,8.39,8.279,5868793.0,4290
260139,0.1407,3.511,-2.5869999999999997,5.172999999999999,0.161,-0.15,0.0,7.5,17.31,14.13,12.61,11.44,10.77,9.339,8.783999999999999,8.547,12.08,8.386000000000001,8.275,5868793.0,4290
262473,0.1407,3.511,-2.585,5.171,0.1613,-0.15,0.0,11.9,17.31,14.13,12.61,11.43,10.77,9.335,8.78,8.543,12.07,8.382,8.271,5868793.0,4290
263977,0.1407,3.511,-2.5860000000000003,5.172000000000001,0.1612,-0.14,0.0,0.9,17.31,14.14,12.62,11.44,10.77,9.335,8.781,8.543,12.08,8.382,8.271,5868793.0,4290
264290,0.1407,3.511,-2.592,5.176,0.1604,-0.14,0.0,1.5,17.33,14.15,12.63,11.45,10.78,9.349,8.795,8.558,12.09,8.397,8.286,5868793.0,4290
264448,0.1407,3.511,-2.592,5.176,0.1605,-0.14,0.0,1.8,17.33,14.15,12.63,11.45,10.79,9.35,8.796,8.558,12.09,8.397,8.286,5868793.0,4290
264501,0.1407,3.511,-2.593,5.1770000000000005,0.1603,-0.14,0.0,1.9,17.33,14.15,12.63,11.45,10.79,9.351,8.798,8.56,12.09,8.399,8.288,5868793.0,4290
264661,0.1407,3.511,-2.594,5.178,0.1601,-0.14,0.0,2.2,17.33,14.15,12.63,11.46,10.79,9.355,8.801,8.564,12.1,8.402999999999999,8.292,5868793.0,4290
264713,0.1407,3.511,-2.591,5.175,0.1606,-0.14,0.0,2.3,17.33,14.15,12.63,11.45,10.78,9.346,8.793,8.555,12.09,8.394,8.283,5868793.0,4290
264766,0.1407,3.511,-2.592,5.176,0.1604,-0.14,0.0,2.4,17.33,14.15,12.63,11.45,10.79,9.35,8.796,8.559,12.09,8.398,8.287,5868793.0,4290
264819,0.1407,3.511,-2.594,5.178,0.1601,-0.14,0.0,2.5,17.33,14.15,12.63,11.46,10.79,9.355,8.801,8.564,12.1,8.402999999999999,8.292,5868793.0,4290
264977,0.1407,3.511,-2.593,5.176,0.1603,-0.14,0.0,2.8,17.33,14.15,12.63,11.45,10.79,9.351,8.798,8.56,12.09,8.399,8.288,5868793.0,4290
265029,0.1407,3.511,-2.591,5.175,0.1606,-0.14,0.0,2.9,17.33,14.15,12.63,11.45,10.78,9.347000000000001,8.793,8.556000000000001,12.09,8.395,8.283999999999999,5868793.0,4290
265082,0.1407,3.511,-2.591,5.175,0.1606,-0.14,0.0,3.0,17.32,14.14,12.63,11.45,10.78,9.346,8.792,8.554,12.09,8.394,8.283,5868793.0,4290
265135,0.1407,3.511,-2.593,5.1770000000000005,0.1602,-0.14,0.0,3.1,17.33,14.15,12.63,11.45,10.79,9.353,8.799,8.562000000000001,12.09,8.401,8.291,5868793.0,4290
265294,0.1407,3.511,-2.594,5.178,0.1601,-0.14,0.0,3.4,17.33,14.15,12.63,11.46,10.79,9.356,8.802,8.564,12.1,8.404,8.293,5868793.0,4290
265348,0.1407,3.511,-2.593,5.176,0.1604,-0.14,0.0,3.5,17.33,14.15,12.63,11.45,10.79,9.351,8.797,8.559,12.09,8.399,8.288,5868793.0,4290
265400,0.1407,3.511,-2.592,5.175,0.1605,-0.14,0.0,3.6,17.33,14.15,12.63,11.45,10.78,9.347999999999999,8.795,8.557,12.09,8.396,8.285,5868793.0,4290
265452,0.1407,3.511,-2.59,5.1739999999999995,0.1608,-0.14,0.0,3.7,17.32,14.14,12.63,11.45,10.78,9.343,8.79,8.552,12.09,8.391,8.28,5868793.0,4290
265505,0.1407,3.511,-2.591,5.175,0.1606,-0.14,0.0,3.8,17.32,14.14,12.63,11.45,10.78,9.346,8.792,8.555,12.09,8.394,8.283,5868793.0,4290
265558,0.1407,3.511,-2.593,5.1770000000000005,0.1603,-0.14,0.0,3.9,17.33,14.15,12.63,11.45,10.79,9.352,8.798,8.56,12.09,8.4,8.289,5868793.0,4290
265611,0.1407,3.511,-2.594,5.178,0.1601,-0.14,0.0,4.0,17.33,14.15,12.63,11.45,10.79,9.354,8.8,8.562000000000001,12.09,8.402000000000001,8.291,5868793.0,4290
265717,0.1407,3.511,-2.594,5.178,0.1601,-0.14,0.0,4.2,17.33,14.15,12.63,11.46,10.79,9.355,8.801,8.564,12.1,8.402999999999999,8.293,5868793.0,4290
265770,0.1407,3.511,-2.594,5.1770000000000005,0.1602,-0.14,0.0,4.3,17.33,14.15,12.63,11.46,10.79,9.354,8.8,8.562000000000001,12.09,8.402000000000001,8.291,5868793.0,4290
265824,0.1407,3.511,-2.593,5.1770000000000005,0.1603,-0.14,0.0,4.4,17.33,14.15,12.63,11.45,10.79,9.352,8.798,8.561,12.09,8.4,8.289,5868793.0,4290
265878,0.1407,3.511,-2.591,5.175,0.1606,-0.14,0.0,4.5,17.33,14.15,12.63,11.45,10.78,9.347999999999999,8.794,8.557,12.09,8.396,8.285,5868793.0,4290
265930,0.1407,3.511,-2.59,5.1739999999999995,0.1607,-0.14,0.0,4.6,17.32,14.14,12.63,11.45,10.78,9.345,8.792,8.554,12.09,8.392999999999999,8.282,5868793.0,4290
265982,0.1407,3.511,-2.589,5.172999999999999,0.1609,-0.14,0.0,4.7,17.32,14.14,12.62,11.44,10.78,9.341000000000001,8.788,8.55,12.08,8.389,8.277999999999999,5868793.0,4290
