# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jun 18 12:54:34 2021
#
# CONSTRAINT:  where (ismostprecise = 1)
#
# COLUMN planetname:     Data Source Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN obsname:        Observatory Name
# COLUMN reflink:        Reference
# COLUMN algorithm:      Algorithm
# COLUMN isdefault:      Default Parameters Flag
# COLUMN ismostprecise:  Most-Precise Flag
# COLUMN phase:          Phase
# COLUMN period:         Period [days]
# COLUMN transitduration: Transit Duration [hours]
# COLUMN transitdepthdb: Transit Depth - Measured [percent]
# COLUMN transitdepthcalc: Transit Depth - Calculated [percent]
# COLUMN ttv:            TTV flag
# COLUMN midpointcalendar: Event Midpoint Calendar UT
# COLUMN propmidpointunc: Propagated Midpoint Uncertainty [days]
# COLUMN midpointairmass: Event Midpoint Airmass
# COLUMN targetobsstartcalendar: Target Observability Start Calendar UT
# COLUMN targetobsendcalendar: Target Observability End Calendar UT
# COLUMN fractionobservable: Event Fraction Observable
#
planetname,ra_str,ra,dec_str,dec,obsname,reflink,algorithm,isdefault,ismostprecise,phase,period,transitduration,transitdepthdb,transitdepthcalc,ttv,midpointcalendar,propmidpointunc,midpointairmass,targetobsstartcalendar,targetobsendcalendar,fractionobservable
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,09/03/2013 04:20,0.003591,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,10/01/2013 18:43,0.003635,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,10/30/2013 09:06,0.003680,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,11/27/2013 23:29,0.003724,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,12/26/2013 13:51,0.003768,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,01/24/2014 04:14,0.003813,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,02/21/2014 18:37,0.003857,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,03/22/2014 09:00,0.003902,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,04/19/2014 23:22,0.003946,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,05/18/2014 13:45,0.003991,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,06/16/2014 04:08,0.004035,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,06/11/2009 19:52,0.001280,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,07/10/2009 10:15,0.001236,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,08/08/2009 00:38,0.001280,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,09/05/2009 15:00,0.001325,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,10/04/2009 05:23,0.001369,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,11/01/2009 19:46,0.001414,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,11/30/2009 10:09,0.001458,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,12/29/2009 00:31,0.001502,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,01/26/2010 14:54,0.001547,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,02/24/2010 05:17,0.001591,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,03/24/2010 19:39,0.001636,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,04/22/2010 10:02,0.001680,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,05/21/2010 00:25,0.001725,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,06/18/2010 14:48,0.001769,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,07/17/2010 05:10,0.001814,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,08/14/2010 19:33,0.001858,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,09/12/2010 09:56,0.001902,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,10/11/2010 00:19,0.001947,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,11/08/2010 14:41,0.001991,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,12/07/2010 05:04,0.002036,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,01/04/2011 19:27,0.002080,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,02/02/2011 09:50,0.002125,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,03/03/2011 00:12,0.002169,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,03/31/2011 14:35,0.002213,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,04/29/2011 04:58,0.002258,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,05/27/2011 19:21,0.002302,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,06/25/2011 09:43,0.002347,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,07/24/2011 00:06,0.002391,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,08/21/2011 14:29,0.002436,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,09/19/2011 04:52,0.002480,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,10/17/2011 19:14,0.002524,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,11/15/2011 09:37,0.002569,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,12/14/2011 00:00,0.002613,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,01/11/2012 14:23,0.002658,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,02/09/2012 04:45,0.002702,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,03/08/2012 19:08,0.002746,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,04/06/2012 09:31,0.002791,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,05/04/2012 23:54,0.002835,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,06/02/2012 14:16,0.002880,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,07/01/2012 04:39,0.002924,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,07/29/2012 19:02,0.002969,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,08/27/2012 09:25,0.003013,,,,
Kepler-737 b,19h27m27.12s,291.862979,46d25m44.98s,46.429161,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.599131,,,0.000000,0,09/24/2012 23:47,0.003057,,,,
