,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
102630,0.4629,3.57,-1.4980000000000002,4.849,0.4237,-0.36,0.0,0.2,13.38,10.53,9.146,8.447000000000001,8.052,6.791,6.192,5.979,8.936,5.925,5.855,5868793.0,4290
102677,0.4629,3.57,-1.499,4.85,0.4237,-0.36,0.0,0.3,13.38,10.53,9.146,8.447000000000001,8.052999999999999,6.792000000000001,6.192,5.979,8.937000000000001,5.9270000000000005,5.857,5868793.0,4290
109949,0.4629,3.57,-1.5,4.849,0.4238,-0.35,0.0,0.2,13.39,10.54,9.158999999999999,8.455,8.056000000000001,6.794,6.194,5.981,8.945,5.9270000000000005,5.857,5868793.0,4290
109996,0.4629,3.57,-1.5,4.849,0.4237,-0.35,0.0,0.3,13.39,10.54,9.158999999999999,8.455,8.057,6.795,6.195,5.982,8.946,5.928999999999999,5.859,5868793.0,4290
110044,0.4629,3.57,-1.501,4.85,0.4237,-0.35,0.0,0.4,13.39,10.54,9.16,8.456,8.058,6.796,6.195,5.982,8.947000000000001,5.93,5.86,5868793.0,4290
110093,0.4629,3.57,-1.5,4.849,0.4239,-0.35,0.0,0.5,13.39,10.54,9.157,8.454,8.057,6.796,6.194,5.982,8.945,5.93,5.861000000000001,5868793.0,4290
117268,0.4629,3.569,-1.5019999999999998,4.849,0.4238,-0.34,0.0,0.2,13.4,10.56,9.172,8.462,8.06,6.796,6.197,5.984,8.955,5.93,5.859,5868793.0,4290
117315,0.4629,3.569,-1.5019999999999998,4.849,0.4237,-0.34,0.0,0.3,13.4,10.56,9.172,8.462,8.061,6.797000000000001,6.1979999999999995,5.984,8.956,5.931,5.861000000000001,5868793.0,4290
117363,0.4629,3.569,-1.5019999999999998,4.85,0.4237,-0.34,0.0,0.4,13.4,10.56,9.172,8.463,8.062000000000001,6.797999999999999,6.1979999999999995,5.985,8.956,5.932,5.862,5868793.0,4290
117412,0.4629,3.57,-1.5030000000000001,4.85,0.4237,-0.34,0.0,0.5,13.41,10.56,9.173,8.463,8.062999999999999,6.7989999999999995,6.1979999999999995,5.985,8.957,5.933,5.864,5868793.0,4290
