Nested Sampling Global Log-Evidence           :    0.616761930068307379E+03  +/-    0.113567653272519914E+00
Nested Importance Sampling Global Log-Evidence:    0.615098910818155105E+03  +/-    0.146609958769562621E+00

Dim No.       Mean        Sigma
   1    0.811222018859408323E+01    0.131326134044671338E-02
   2    0.245500934066652600E+07    0.108253175473054825E+00
   3    0.383072196682366015E-01    0.233669170163355606E-02
   4    0.351200832527995777E+00    0.217242959909498212E+00
   5    0.503125675685980767E+00    0.272940289757641230E+00
   6    0.475993220751255164E+00    0.277463890830137505E+00
   7    0.220313605082021979E+02    0.309971123891064293E+01
   8   -0.185808289916936250E-03    0.773369895028025775E-04
   9    0.275531510333656975E+02    0.522238840891190179E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.811155665313436636E+01
   2    0.245500933969840035E+07
   3    0.363198077024940100E-01
   4    0.150125897330211894E+00
   5    0.409223187304594893E+00
   6    0.902970473475994684E+00
   7    0.225886413028221078E+02
   8   -0.219350755529672319E-03
   9    0.827909794380695230E+00

MAP Parameters
Dim No.        Parameter
   1    0.811155665313436636E+01
   2    0.245500933969840035E+07
   3    0.363198077024940100E-01
   4    0.150125897330211894E+00
   5    0.409223187304594893E+00
   6    0.902970473475994684E+00
   7    0.225886413028221078E+02
   8   -0.219350755529672319E-03
   9    0.827909794380695230E+00
