Nested Sampling Global Log-Evidence           :    0.769617512988820522E+03  +/-    0.155466823261920045E+00
Nested Importance Sampling Global Log-Evidence:    0.768632886342180655E+03  +/-    0.402822296135803837E-01

Dim No.       Mean        Sigma
   1    0.811419947312010414E+01    0.262313886094371292E-03
   2    0.245500933950316673E+07    0.883883476483184466E-01
   3    0.375708094382515567E-01    0.811392838203117022E-03
   4    0.341781834766001991E+00    0.207489935352720811E+00
   5    0.263375192059342123E+00    0.172992202429773673E+00
   6    0.280452426586852932E+00    0.220242274118561704E+00
   7    0.172820978198517849E+02    0.177771895815947745E+01
   8   -0.379810221046093333E-03    0.151649884838768768E-04
   9    0.146025802252369967E+02    0.173474994106818592E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.811429753182696523E+01
   2    0.245500933946772711E+07
   3    0.397749266753393560E-01
   4    0.816958842284219555E+00
   5    0.121966695100478167E+00
   6    0.264698219343988517E+00
   7    0.111091351641720646E+02
   8   -0.382581107666782826E-03
   9    0.103202047875459879E+02

MAP Parameters
Dim No.        Parameter
   1    0.811429753182696523E+01
   2    0.245500933946772711E+07
   3    0.397749266753393560E-01
   4    0.816958842284219555E+00
   5    0.121966695100478167E+00
   6    0.264698219343988517E+00
   7    0.111091351641720646E+02
   8   -0.382581107666782826E-03
   9    0.103202047875459879E+02
