,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2
605240,0.5636,3.571,-1.285,4.713,0.5472,0.32,0.0,11.2,12.97,10.26,9.027999999999999,8.055,7.531000000000001,6.193,5.544,5.352,8.621,5.2,5.1979999999999995
605292,0.5636,3.571,-1.285,4.713,0.5473,0.32,0.0,11.3,12.97,10.26,9.026,8.054,7.53,6.192,5.542999999999999,5.351,8.62,5.199,5.197
605344,0.5636,3.571,-1.284,4.712,0.5475,0.32,0.0,11.4,12.97,10.26,9.025,8.052,7.529,6.191,5.542000000000001,5.35,8.619,5.1979999999999995,5.196000000000001
605396,0.5636,3.571,-1.284,4.712,0.5477,0.32,0.0,11.5,12.96,10.26,9.023,8.051,7.528,6.19,5.541,5.349,8.618,5.197,5.195
605448,0.5636,3.571,-1.284,4.712,0.5478,0.32,0.0,11.6,12.96,10.25,9.022,8.05,7.527,6.189,5.54,5.348,8.616,5.196000000000001,5.194
605501,0.5636,3.571,-1.2830000000000001,4.711,0.548,0.32,0.0,11.7,12.96,10.25,9.021,8.049,7.526,6.188,5.539,5.347,8.615,5.195,5.193
612588,0.5636,3.571,-1.285,4.712,0.5477,0.33,0.0,11.3,12.97,10.27,9.037,8.059,7.532,6.192,5.542000000000001,5.351,8.627,5.199,5.197
612640,0.5636,3.571,-1.285,4.712,0.5479,0.33,0.0,11.4,12.97,10.27,9.036,8.057,7.531000000000001,6.191,5.541,5.35,8.626,5.1979999999999995,5.196000000000001
612692,0.5636,3.571,-1.285,4.711,0.5481,0.33,0.0,11.5,12.97,10.26,9.033999999999999,8.056000000000001,7.53,6.19,5.54,5.349,8.624,5.197,5.195
612744,0.5636,3.571,-1.284,4.711,0.5482,0.33,0.0,11.6,12.97,10.26,9.033,8.055,7.529,6.189,5.539,5.348,8.623,5.196000000000001,5.194
612797,0.5636,3.571,-1.284,4.711,0.5484,0.33,0.0,11.7,12.97,10.26,9.032,8.054,7.528,6.188,5.537999999999999,5.347,8.622,5.195,5.193
612850,0.5636,3.571,-1.2830000000000001,4.711,0.5485,0.33,0.0,11.8,12.97,10.26,9.03,8.052999999999999,7.527,6.187,5.537000000000001,5.346,8.621,5.194,5.192
612903,0.5636,3.571,-1.2830000000000001,4.71,0.5487,0.33,0.0,11.9,12.96,10.26,9.029,8.052,7.526,6.186,5.5360000000000005,5.345,8.62,5.193,5.191
