,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2
58709,0.5132,3.583,-1.34,4.801,0.4717,-0.42,0.0,0.2,12.77,9.97,8.607000000000001,8.003,7.667000000000001,6.439,5.832999999999999,5.624,8.455,5.587000000000001,5.532
66030,0.5132,3.583,-1.344,4.802,0.4712,-0.41,0.0,0.2,12.79,9.988999999999999,8.626,8.016,7.675,6.445,5.837999999999999,5.63,8.471,5.593,5.537000000000001
73351,0.5132,3.582,-1.348,4.803,0.4706,-0.4,0.0,0.2,12.81,10.01,8.645,8.027999999999999,7.683,6.452000000000001,5.843999999999999,5.635,8.487,5.599,5.542000000000001
80672,0.5132,3.5810000000000004,-1.3519999999999999,4.803999999999999,0.4702,-0.39,0.0,0.2,12.84,10.03,8.665,8.041,7.691,6.457999999999999,5.85,5.641,8.502,5.605,5.547000000000001
117416,0.5032,3.5860000000000003,-1.347,4.787,0.4746,-0.34,0.0,0.5,12.8,9.987,8.637,8.03,7.694,6.465,5.854,5.652,8.475,5.6129999999999995,5.572
124736,0.5032,3.585,-1.35,4.787,0.4746,-0.33,0.0,0.5,12.82,10.0,8.652000000000001,8.039,7.7,6.47,5.859,5.656000000000001,8.487,5.6160000000000005,5.5760000000000005
124785,0.5032,3.5860000000000003,-1.349,4.787,0.4748,-0.33,0.0,0.6,12.81,9.995,8.645,8.035,7.697,6.4670000000000005,5.856,5.654,8.482000000000001,5.615,5.575
132056,0.5032,3.585,-1.3530000000000002,4.788,0.4744,-0.32,0.0,0.5,12.83,10.02,8.668,8.049,7.706,6.474,5.8629999999999995,5.66,8.5,5.62,5.577999999999999
132105,0.5032,3.585,-1.351,4.787,0.4746,-0.32,0.0,0.6,12.82,10.01,8.661,8.045,7.702999999999999,6.472,5.86,5.6579999999999995,8.494,5.619,5.577999999999999
132155,0.5032,3.5860000000000003,-1.349,4.787,0.4749,-0.32,0.0,0.7,12.81,9.999,8.652000000000001,8.038,7.6979999999999995,6.4670000000000005,5.855,5.655,8.485,5.6160000000000005,5.577000000000001
132205,0.5032,3.5860000000000003,-1.347,4.7860000000000005,0.4753,-0.32,0.0,0.8,12.8,9.991,8.646,8.033,7.694,6.4639999999999995,5.85,5.652,8.479,5.614,5.575
132569,0.5032,3.5860000000000003,-1.3430000000000002,4.781000000000001,0.4777,-0.32,0.0,1.5,12.79,9.981,8.637,8.022,7.683,6.452000000000001,5.837999999999999,5.641,8.469,5.604,5.565
132622,0.5032,3.5860000000000003,-1.3419999999999999,4.781000000000001,0.478,-0.32,0.0,1.6,12.79,9.98,8.635,8.021,7.682,6.4510000000000005,5.837000000000001,5.638999999999999,8.468,5.603,5.564
132675,0.5032,3.5860000000000003,-1.341,4.78,0.4783,-0.32,0.0,1.7,12.79,9.978,8.634,8.02,7.68,6.45,5.835,5.638,8.466000000000001,5.601,5.563
132780,0.5032,3.5860000000000003,-1.341,4.779,0.4789,-0.32,0.0,1.9,12.79,9.976,8.632,8.017000000000001,7.678,6.447,5.832999999999999,5.635,8.464,5.599,5.56
132886,0.5032,3.5860000000000003,-1.339,4.7780000000000005,0.4794,-0.32,0.0,2.1,12.79,9.972999999999999,8.629,8.015,7.675,6.445,5.83,5.632999999999999,8.461,5.596,5.558
132939,0.5032,3.5860000000000003,-1.339,4.7780000000000005,0.4798,-0.32,0.0,2.2,12.79,9.972000000000001,8.628,8.014,7.6739999999999995,6.444,5.829,5.632000000000001,8.46,5.595,5.556
133044,0.5032,3.5860000000000003,-1.338,4.777,0.4801,-0.32,0.0,2.4,12.78,9.969,8.626,8.011000000000001,7.672000000000001,6.441,5.8260000000000005,5.629,8.458,5.593,5.553999999999999
133097,0.5032,3.5860000000000003,-1.338,4.777,0.4804,-0.32,0.0,2.5,12.78,9.968,8.624,8.01,7.671,6.44,5.825,5.627999999999999,8.456,5.591,5.553
133150,0.5032,3.5860000000000003,-1.337,4.776,0.4807,-0.32,0.0,2.6,12.78,9.967,8.623,8.009,7.669,6.439,5.824,5.627000000000001,8.455,5.591,5.5520000000000005
139234,0.5233,3.5780000000000003,-1.349,4.7989999999999995,0.4773,-0.31,0.0,0.2,12.88,10.07,8.717,8.05,7.6770000000000005,6.434,5.822,5.6129999999999995,8.529,5.58,5.52
139376,0.5032,3.5839999999999996,-1.3559999999999999,4.788,0.4742,-0.31,0.0,0.5,12.85,10.04,8.684,8.059,7.712999999999999,6.478,5.867000000000001,5.664,8.512,5.624,5.582000000000001
139425,0.5032,3.585,-1.354,4.787,0.4744,-0.31,0.0,0.6,12.84,10.03,8.677,8.054,7.709,6.476,5.864,5.662000000000001,8.506,5.622000000000001,5.581
139475,0.5032,3.585,-1.3519999999999999,4.787,0.4748,-0.31,0.0,0.7,12.83,10.02,8.668,8.048,7.705,6.472,5.859,5.659,8.498,5.62,5.58
139525,0.5032,3.5860000000000003,-1.35,4.7860000000000005,0.4751,-0.31,0.0,0.8,12.82,10.01,8.661,8.043,7.7,6.468,5.855,5.656000000000001,8.492,5.617999999999999,5.577999999999999
139576,0.5032,3.5860000000000003,-1.349,4.7860000000000005,0.4754,-0.31,0.0,0.9,12.82,10.0,8.658,8.04,7.6979999999999995,6.466,5.852,5.654,8.488,5.6160000000000005,5.577000000000001
139627,0.5032,3.5860000000000003,-1.348,4.785,0.4757,-0.31,0.0,1.0,12.82,10.0,8.657,8.038,7.696000000000001,6.4639999999999995,5.85,5.652,8.486,5.615,5.5760000000000005
139679,0.5032,3.5860000000000003,-1.347,4.785,0.476,-0.31,0.0,1.1,12.82,10.0,8.656,8.037,7.695,6.462999999999999,5.848,5.651,8.485,5.614,5.575
139732,0.5032,3.5860000000000003,-1.347,4.784,0.4765,-0.31,0.0,1.2,12.81,10.0,8.655,8.036,7.693,6.461,5.847,5.649,8.484,5.612,5.5729999999999995
139784,0.5032,3.5860000000000003,-1.3459999999999999,4.783,0.4768,-0.31,0.0,1.3,12.81,9.999,8.654,8.033999999999999,7.692,6.46,5.845,5.648,8.482999999999999,5.611000000000001,5.571000000000001
139836,0.5032,3.5860000000000003,-1.3459999999999999,4.782,0.4772,-0.31,0.0,1.4,12.81,9.998,8.652999999999999,8.033,7.691,6.457999999999999,5.843999999999999,5.646,8.482000000000001,5.609,5.57
139889,0.5032,3.5860000000000003,-1.345,4.782,0.4776,-0.31,0.0,1.5,12.81,9.997,8.652000000000001,8.032,7.689,6.457000000000001,5.843,5.645,8.481,5.608,5.568
139942,0.5032,3.5860000000000003,-1.345,4.781000000000001,0.4779,-0.31,0.0,1.6,12.81,9.995,8.651,8.031,7.688,6.456,5.841,5.643,8.48,5.607,5.567
139995,0.5032,3.5860000000000003,-1.344,4.781000000000001,0.4782,-0.31,0.0,1.7,12.81,9.994,8.65,8.029,7.687,6.454,5.84,5.642,8.478,5.605,5.566
140047,0.5032,3.5860000000000003,-1.344,4.78,0.4785,-0.31,0.0,1.8,12.81,9.993,8.649,8.027999999999999,7.685,6.452999999999999,5.8389999999999995,5.641,8.477,5.604,5.564
140100,0.5032,3.5860000000000003,-1.3430000000000002,4.78,0.4788,-0.31,0.0,1.9,12.81,9.992,8.647,8.027000000000001,7.684,6.452000000000001,5.837000000000001,5.638999999999999,8.476,5.603,5.563
140153,0.5032,3.5860000000000003,-1.3430000000000002,4.779,0.479,-0.31,0.0,2.0,12.81,9.991,8.646,8.026,7.683,6.45,5.836,5.638,8.475,5.601,5.562
140206,0.5032,3.5860000000000003,-1.3419999999999999,4.779,0.4793,-0.31,0.0,2.1,12.8,9.988999999999999,8.645,8.025,7.682,6.449,5.835,5.6370000000000005,8.474,5.6,5.561
140259,0.5032,3.5860000000000003,-1.3419999999999999,4.7780000000000005,0.4795,-0.31,0.0,2.2,12.8,9.988,8.642999999999999,8.023,7.681,6.4479999999999995,5.832999999999999,5.636,8.472000000000001,5.599,5.559
140311,0.5032,3.5860000000000003,-1.341,4.7780000000000005,0.4798,-0.31,0.0,2.3,12.8,9.987,8.642000000000001,8.022,7.678999999999999,6.447,5.832000000000001,5.635,8.471,5.598,5.558
140364,0.5032,3.5860000000000003,-1.341,4.777,0.48,-0.31,0.0,2.4,12.8,9.986,8.641,8.021,7.678,6.446000000000001,5.831,5.632999999999999,8.47,5.597,5.557
140417,0.5032,3.5860000000000003,-1.34,4.777,0.4803,-0.31,0.0,2.5,12.8,9.984,8.64,8.02,7.6770000000000005,6.444,5.83,5.632000000000001,8.469,5.595,5.556
140470,0.5032,3.5860000000000003,-1.34,4.776,0.4805,-0.31,0.0,2.6,12.8,9.982999999999999,8.639,8.019,7.676,6.443,5.829,5.631,8.467,5.593999999999999,5.555
140523,0.5032,3.5860000000000003,-1.339,4.776,0.4807,-0.31,0.0,2.7,12.8,9.982000000000001,8.637,8.017000000000001,7.675,6.442,5.827000000000001,5.63,8.466000000000001,5.593,5.553999999999999
140575,0.5032,3.5860000000000003,-1.339,4.776,0.481,-0.31,0.0,2.8,12.8,9.98,8.636000000000001,8.016,7.6739999999999995,6.441,5.8260000000000005,5.629,8.465,5.5920000000000005,5.553
140627,0.5032,3.5860000000000003,-1.339,4.775,0.4812,-0.31,0.0,2.9,12.79,9.979,8.635,8.015,7.672000000000001,6.44,5.825,5.627000000000001,8.464,5.591,5.5520000000000005
140680,0.5032,3.5860000000000003,-1.338,4.775,0.4814,-0.31,0.0,3.0,12.79,9.978,8.633,8.014,7.671,6.439,5.824,5.626,8.463,5.59,5.55
140733,0.5032,3.5860000000000003,-1.338,4.774,0.4816,-0.31,0.0,3.1,12.79,9.976,8.632,8.013,7.67,6.438,5.8229999999999995,5.625,8.461,5.5889999999999995,5.55
140786,0.5032,3.5860000000000003,-1.337,4.774,0.4818,-0.31,0.0,3.2,12.79,9.975,8.631,8.011000000000001,7.669,6.437,5.822,5.624,8.46,5.587999999999999,5.5489999999999995
140839,0.5032,3.5860000000000003,-1.337,4.774,0.482,-0.31,0.0,3.3,12.79,9.974,8.63,8.01,7.667999999999999,6.436,5.82,5.622999999999999,8.459,5.587000000000001,5.547999999999999
140892,0.5032,3.5860000000000003,-1.3359999999999999,4.773,0.4823,-0.31,0.0,3.4,12.79,9.972000000000001,8.628,8.009,7.667000000000001,6.434,5.819,5.622000000000001,8.458,5.585,5.546
140946,0.5032,3.5860000000000003,-1.3359999999999999,4.773,0.4824,-0.31,0.0,3.5,12.79,9.971,8.627,8.008,7.666,6.433,5.818,5.621,8.456,5.584,5.545
140998,0.5032,3.5860000000000003,-1.335,4.773,0.4826,-0.31,0.0,3.6,12.78,9.97,8.626,8.007,7.665,6.432,5.817,5.62,8.455,5.582999999999999,5.545
141050,0.5032,3.5860000000000003,-1.335,4.772,0.4829,-0.31,0.0,3.7,12.78,9.968,8.624,8.006,7.664,6.431,5.816,5.619,8.454,5.582000000000001,5.544
141103,0.5032,3.5860000000000003,-1.334,4.772,0.4831,-0.31,0.0,3.8,12.78,9.967,8.623,8.004,7.662000000000001,6.43,5.815,5.617000000000001,8.453,5.581,5.542999999999999
141156,0.5032,3.5860000000000003,-1.334,4.771,0.4834,-0.31,0.0,3.9,12.78,9.966000000000001,8.622,8.003,7.6610000000000005,6.428999999999999,5.814,5.6160000000000005,8.452,5.58,5.541
141209,0.5032,3.5860000000000003,-1.3330000000000002,4.771,0.4835,-0.31,0.0,4.0,12.78,9.964,8.621,8.002,7.66,6.428,5.813,5.615,8.45,5.579,5.541
141262,0.5032,3.5860000000000003,-1.3330000000000002,4.771,0.4837,-0.31,0.0,4.1,12.78,9.963,8.619,8.001,7.659,6.4270000000000005,5.812,5.614,8.449,5.577999999999999,5.54
141315,0.5032,3.5860000000000003,-1.3330000000000002,4.77,0.4838,-0.31,0.0,4.2,12.78,9.962,8.618,8.0,7.6579999999999995,6.426,5.81,5.6129999999999995,8.448,5.577000000000001,5.539
141368,0.5032,3.5860000000000003,-1.3319999999999999,4.77,0.484,-0.31,0.0,4.3,12.78,9.96,8.617,7.999,7.657,6.425,5.809,5.612,8.447000000000001,5.5760000000000005,5.537999999999999
141422,0.5032,3.5860000000000003,-1.3319999999999999,4.77,0.4843,-0.31,0.0,4.4,12.77,9.959,8.616,7.997999999999999,7.656000000000001,6.4239999999999995,5.808,5.611000000000001,8.446,5.575,5.537000000000001
141476,0.5032,3.5860000000000003,-1.331,4.769,0.4845,-0.31,0.0,4.5,12.77,9.958,8.613999999999999,7.996,7.655,6.422999999999999,5.807,5.61,8.443999999999999,5.574,5.5360000000000005
141528,0.5032,3.5860000000000003,-1.331,4.769,0.4846,-0.31,0.0,4.6,12.77,9.957,8.613,7.995,7.654,6.422000000000001,5.806,5.609,8.443,5.5729999999999995,5.535
141580,0.5032,3.5860000000000003,-1.33,4.769,0.4848,-0.31,0.0,4.7,12.77,9.955,8.612,7.994,7.653,6.421,5.805,5.608,8.442,5.572,5.534
141633,0.5032,3.5860000000000003,-1.33,4.768,0.485,-0.31,0.0,4.8,12.77,9.954,8.611,7.992999999999999,7.652,6.42,5.803999999999999,5.607,8.441,5.571000000000001,5.5329999999999995
141686,0.5032,3.5860000000000003,-1.33,4.768,0.4852,-0.31,0.0,4.9,12.77,9.953,8.609,7.992000000000001,7.651,6.419,5.803,5.606,8.44,5.57,5.532
141739,0.5032,3.5860000000000003,-1.329,4.768,0.4855,-0.31,0.0,5.0,12.77,9.951,8.607999999999999,7.9910000000000005,7.65,6.417999999999999,5.8020000000000005,5.605,8.437999999999999,5.569,5.531000000000001
141792,0.5032,3.5860000000000003,-1.329,4.7669999999999995,0.4856,-0.31,0.0,5.1,12.77,9.95,8.607000000000001,7.99,7.649,6.417000000000001,5.801,5.604,8.437000000000001,5.568,5.53
141845,0.5032,3.5860000000000003,-1.328,4.7669999999999995,0.4857,-0.31,0.0,5.2,12.76,9.949,8.606,7.989,7.648,6.416,5.8,5.603,8.436,5.568,5.529
141898,0.5032,3.5860000000000003,-1.328,4.7669999999999995,0.4859,-0.31,0.0,5.3,12.76,9.947000000000001,8.604,7.9879999999999995,7.647,6.415,5.7989999999999995,5.602,8.435,5.567,5.529
141951,0.5032,3.5860000000000003,-1.327,4.766,0.4861,-0.31,0.0,5.4,12.76,9.946,8.603,7.986000000000001,7.646,6.414,5.797999999999999,5.601,8.434,5.566,5.528
142004,0.5032,3.5860000000000003,-1.327,4.766,0.4864,-0.31,0.0,5.5,12.76,9.945,8.602,7.985,7.645,6.412999999999999,5.797000000000001,5.6,8.432,5.564,5.526
142056,0.5032,3.5860000000000003,-1.327,4.766,0.4865,-0.31,0.0,5.6,12.76,9.943,8.6,7.984,7.643,6.412000000000001,5.796,5.599,8.431000000000001,5.564,5.526
146555,0.5233,3.577,-1.351,4.7989999999999995,0.4772,-0.3,0.0,0.2,12.89,10.08,8.73,8.058,7.681,6.437,5.825,5.6160000000000005,8.539,5.582999999999999,5.523
146697,0.5032,3.5839999999999996,-1.358,4.788,0.4742,-0.3,0.0,0.5,12.87,10.05,8.7,8.068999999999999,7.718999999999999,6.483,5.872000000000001,5.667999999999999,8.524,5.627000000000001,5.585
146746,0.5032,3.5839999999999996,-1.357,4.788,0.4744,-0.3,0.0,0.6,12.86,10.04,8.692,8.064,7.716,6.48,5.869,5.666,8.517999999999999,5.626,5.584
146796,0.5032,3.585,-1.355,4.787,0.4746,-0.3,0.0,0.7,12.85,10.03,8.684,8.058,7.711,6.477,5.864,5.662999999999999,8.51,5.624,5.582999999999999
146846,0.5032,3.585,-1.3530000000000002,4.787,0.4749,-0.3,0.0,0.8,12.84,10.02,8.677,8.052,7.707000000000001,6.473,5.86,5.66,8.504,5.622000000000001,5.581
146897,0.5032,3.585,-1.3519999999999999,4.7860000000000005,0.4753,-0.3,0.0,0.9,12.83,10.02,8.674,8.049,7.704,6.47,5.857,5.6579999999999995,8.5,5.62,5.58
146948,0.5032,3.585,-1.351,4.785,0.4756,-0.3,0.0,1.0,12.83,10.02,8.673,8.048,7.702000000000001,6.468,5.855,5.656000000000001,8.498,5.619,5.579
